Date,Value,Group
2023-01-03T00:00:00,0,E&R ADR 60
2023-01-04T00:00:00,0,E&R ADR 60
2023-01-05T00:00:00,0,E&R ADR 60
2023-01-06T00:00:00,0,E&R ADR 60
2023-01-09T00:00:00,0,E&R ADR 60
2023-01-10T00:00:00,0,E&R ADR 60
2023-01-11T00:00:00,0,E&R ADR 60
2023-01-12T00:00:00,0,E&R ADR 60
2023-01-13T00:00:00,0,E&R ADR 60
2023-01-16T00:00:00,0,E&R ADR 60
2023-01-17T00:00:00,0,E&R ADR 60
2023-01-18T00:00:00,0,E&R ADR 60
2023-01-19T00:00:00,0,E&R ADR 60
2023-01-20T00:00:00,0,E&R ADR 60
2023-01-23T00:00:00,0,E&R ADR 60
2023-01-24T00:00:00,0,E&R ADR 60
2023-01-25T00:00:00,0,E&R ADR 60
2023-01-26T00:00:00,0,E&R ADR 60
2023-01-27T00:00:00,-0.978318885,E&R ADR 60
2023-01-30T00:00:00,-2.486480667,E&R ADR 60
2023-01-31T00:00:00,-1.717488989,E&R ADR 60
2023-02-01T00:00:00,-0.684083942,E&R ADR 60
2023-02-02T00:00:00,-1.152768505,E&R ADR 60
2023-02-03T00:00:00,-3.210567358,E&R ADR 60
2023-02-06T00:00:00,-4.459290663,E&R ADR 60
2023-02-07T00:00:00,-3.479057159,E&R ADR 60
2023-02-08T00:00:00,-3.46108377,E&R ADR 60
2023-02-09T00:00:00,-4.194273762,E&R ADR 60
2023-02-10T00:00:00,-4.45100959,E&R ADR 60
2023-02-13T00:00:00,-3.422759084,E&R ADR 60
2023-02-14T00:00:00,-3.400396677,E&R ADR 60
2023-02-15T00:00:00,-3.675590527,E&R ADR 60
2023-02-16T00:00:00,-3.833351313,E&R ADR 60
2023-02-17T00:00:00,-4.130441652,E&R ADR 60
2023-02-20T00:00:00,-4.130441652,E&R ADR 60
2023-02-21T00:00:00,-5.59854516,E&R ADR 60
2023-02-22T00:00:00,-5.982379327,E&R ADR 60
2023-02-23T00:00:00,-5.419071972,E&R ADR 60
2023-02-24T00:00:00,-7.38933337,E&R ADR 60
2023-02-27T00:00:00,-6.821488033,E&R ADR 60
2023-02-28T00:00:00,-7.020990488,E&R ADR 60
2023-03-01T00:00:00,-5.669204437,E&R ADR 60
2023-03-02T00:00:00,-5.586313933,E&R ADR 60
2023-03-03T00:00:00,-4.328320198,E&R ADR 60
2023-03-06T00:00:00,-4.26702995,E&R ADR 60
2023-03-07T00:00:00,-6.043958296,E&R ADR 60
2023-03-08T00:00:00,-5.467271337,E&R ADR 60
2023-03-09T00:00:00,-7.144271197,E&R ADR 60
2023-03-10T00:00:00,-8.939007558,E&R ADR 60
2023-03-13T00:00:00,-9.712091764,E&R ADR 60
2023-03-14T00:00:00,-8.876180845,E&R ADR 60
2023-03-15T00:00:00,-11.23019142,E&R ADR 60
2023-03-16T00:00:00,-10.03713765,E&R ADR 60
2023-03-17T00:00:00,-11.47643877,E&R ADR 60
2023-03-20T00:00:00,-10.43510828,E&R ADR 60
2023-03-21T00:00:00,-9.166400031,E&R ADR 60
2023-03-22T00:00:00,-9.776434785,E&R ADR 60
2023-03-23T00:00:00,-9.803621438,E&R ADR 60
2023-03-24T00:00:00,-9.720422291,E&R ADR 60
2023-03-27T00:00:00,-9.012761333,E&R ADR 60
2023-03-28T00:00:00,-7.891454785,E&R ADR 60
2023-03-29T00:00:00,-6.638868305,E&R ADR 60
2023-03-30T00:00:00,-5.643264377,E&R ADR 60
2023-03-31T00:00:00,-5.264081403,E&R ADR 60
2023-04-03T00:00:00,-5.777893663,E&R ADR 60
2023-04-04T00:00:00,-5.667952935,E&R ADR 60
2023-04-05T00:00:00,-6.133772677,E&R ADR 60
2023-04-06T00:00:00,-5.786040293,E&R ADR 60
2023-04-07T00:00:00,-5.786040293,E&R ADR 60
2023-04-10T00:00:00,-5.385115262,E&R ADR 60
2023-04-11T00:00:00,-4.077411597,E&R ADR 60
2023-04-12T00:00:00,-3.855426399,E&R ADR 60
2023-04-13T00:00:00,-2.504084281,E&R ADR 60
2023-04-14T00:00:00,-2.461755778,E&R ADR 60
2023-04-17T00:00:00,-2.737404096,E&R ADR 60
2023-04-18T00:00:00,-3.329855115,E&R ADR 60
2023-04-19T00:00:00,-4.428338056,E&R ADR 60
2023-04-20T00:00:00,-4.80659061,E&R ADR 60
2023-04-21T00:00:00,-5.600188946,E&R ADR 60
2023-04-24T00:00:00,-5.606081874,E&R ADR 60
2023-04-25T00:00:00,-7.174279039,E&R ADR 60
2023-04-26T00:00:00,-7.07665464,E&R ADR 60
2023-04-27T00:00:00,-5.464962231,E&R ADR 60
2023-04-28T00:00:00,-5.010665304,E&R ADR 60
2023-05-01T00:00:00,-5.117091148,E&R ADR 60
2023-05-02T00:00:00,-6.087458115,E&R ADR 60
2023-05-03T00:00:00,-5.986311914,E&R ADR 60
2023-05-04T00:00:00,-5.824497804,E&R ADR 60
2023-05-05T00:00:00,-3.811411947,E&R ADR 60
2023-05-08T00:00:00,-3.576454143,E&R ADR 60
2023-05-09T00:00:00,-3.631399402,E&R ADR 60
2023-05-10T00:00:00,-3.127932945,E&R ADR 60
2023-05-11T00:00:00,-3.46374947,E&R ADR 60
2023-05-12T00:00:00,-3.540315444,E&R ADR 60
2023-05-15T00:00:00,-2.524741187,E&R ADR 60
2023-05-16T00:00:00,-3.95928335,E&R ADR 60
2023-05-17T00:00:00,-3.087153714,E&R ADR 60
2023-05-18T00:00:00,-3.662988655,E&R ADR 60
2023-05-19T00:00:00,-3.717389458,E&R ADR 60
2023-05-22T00:00:00,-3.548351398,E&R ADR 60
2023-05-23T00:00:00,-3.948544699,E&R ADR 60
2023-05-24T00:00:00,-4.776550196,E&R ADR 60
2023-05-25T00:00:00,-5.121968525,E&R ADR 60
2023-05-26T00:00:00,-4.263005014,E&R ADR 60
2023-05-29T00:00:00,-4.263005014,E&R ADR 60
2023-05-30T00:00:00,-5.370430144,E&R ADR 60
2023-05-31T00:00:00,-6.301745128,E&R ADR 60
2023-06-01T00:00:00,-4.518151306,E&R ADR 60
2023-06-02T00:00:00,-2.722681841,E&R ADR 60
2023-06-05T00:00:00,-2.617901519,E&R ADR 60
2023-06-06T00:00:00,-0.807354345,E&R ADR 60
2023-06-07T00:00:00,-0.876276978,E&R ADR 60
2023-06-08T00:00:00,-0.531170417,E&R ADR 60
2023-06-09T00:00:00,0,E&R ADR 60
2023-06-12T00:00:00,0,E&R ADR 60
2023-06-13T00:00:00,0,E&R ADR 60
2023-06-14T00:00:00,0,E&R ADR 60
2023-06-15T00:00:00,0,E&R ADR 60
2023-06-16T00:00:00,0,E&R ADR 60
2023-06-19T00:00:00,0,E&R ADR 60
2023-06-20T00:00:00,0,E&R ADR 60
2023-06-21T00:00:00,0,E&R ADR 60
2023-06-22T00:00:00,0,E&R ADR 60
2023-06-23T00:00:00,0,E&R ADR 60
2023-06-26T00:00:00,0,E&R ADR 60
2023-06-27T00:00:00,0,E&R ADR 60
2023-06-28T00:00:00,0,E&R ADR 60
2023-06-29T00:00:00,0,E&R ADR 60
2023-06-30T00:00:00,0,E&R ADR 60
2023-07-03T00:00:00,0,E&R ADR 60
