Date,Value,Group
1/3/2023,100,E&R ADR 60
1/4/2023,101.3087,E&R ADR 60
1/5/2023,101.371,E&R ADR 60
1/6/2023,103.6031,E&R ADR 60
1/9/2023,104.2666,E&R ADR 60
1/10/2023,105.8845,E&R ADR 60
1/11/2023,107.2275,E&R ADR 60
1/12/2023,108.8731,E&R ADR 60
1/13/2023,109.413,E&R ADR 60
1/16/2023,109.413,E&R ADR 60
1/17/2023,109.3726,E&R ADR 60
1/18/2023,108.5858,E&R ADR 60
1/19/2023,108.3006,E&R ADR 60
1/20/2023,109.3405,E&R ADR 60
1/23/2023,110.1603,E&R ADR 60
1/24/2023,110.3252,E&R ADR 60
1/25/2023,110.9442,E&R ADR 60
1/26/2023,111.8982,E&R ADR 60
1/27/2023,110.8034,E&R ADR 60
1/30/2023,109.1158,E&R ADR 60
1/31/2023,109.9763,E&R ADR 60
2/1/2023,111.1327,E&R ADR 60
2/2/2023,110.6082,E&R ADR 60
2/3/2023,108.3056,E&R ADR 60
2/6/2023,106.9083,E&R ADR 60
2/7/2023,108.0052,E&R ADR 60
2/8/2023,108.0253,E&R ADR 60
2/9/2023,107.2048,E&R ADR 60
2/10/2023,106.9176,E&R ADR 60
2/13/2023,108.0682,E&R ADR 60
2/14/2023,108.0932,E&R ADR 60
2/15/2023,107.7852,E&R ADR 60
2/16/2023,107.6087,E&R ADR 60
2/17/2023,107.2763,E&R ADR 60
2/20/2023,107.2763,E&R ADR 60
2/21/2023,105.6335,E&R ADR 60
2/22/2023,105.204,E&R ADR 60
2/23/2023,105.8343,E&R ADR 60
2/24/2023,103.6296,E&R ADR 60
2/27/2023,104.265,E&R ADR 60
2/28/2023,104.0418,E&R ADR 60
3/1/2023,105.5544,E&R ADR 60
3/2/2023,105.6472,E&R ADR 60
3/3/2023,107.0548,E&R ADR 60
3/6/2023,107.1234,E&R ADR 60
3/7/2023,105.1351,E&R ADR 60
3/8/2023,105.7804,E&R ADR 60
3/9/2023,103.9038,E&R ADR 60
3/10/2023,101.8956,E&R ADR 60
