Symbol,Name,Current Price,P&L(%),E&R ADR 60 Proportion(%),MCAP Weighted 153 ADRs Proportion(%)
ABCM,Abcam Plc ADR,23.94,48.7,2.06,0.65
ABEV,Ambev S.A.,0,0,0,1.85
AEG,Aegon N.V. ADR,0,0,0,0.23
AMX,America Movil S.A.B. DE C.V. ADR,0,0,0,0.99
ARGX,argenx SE,0,0,0,0.01
ASAI,Sendas Distribuidora S.A.,0,0,0,0.74
ASML,Asml Holdings NY Reg ADR,688.38,24.8,1.73,1.48
ASND,Ascendis Pharma A/S,0,0,0,0.02
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",0,0,0,0.1
ASX,Ase Industrial Holding Ltd ADR,0,0,0,0.19
AU,Anglogold Ashanti Ltd ADR,18.07,-34.51,0.98,0.06
AZN,Astrazeneca Plc ADR,63.66,-5.88,1.47,0.61
BABA,Alibaba Group Holding Limited,0,0,0,7.01
BBD,Banco Bradesco S.A. ADR,3.28,22.39,1.7,1.29
BBVA,Banco Bilbao Viscaya Argentaria S.A. ADR,9.17,32.13,1.97,1.09
BCH,Banco de Chile,0,0,0,0.28
BCS,Barclays Plc ADR,0,0,0,0.75
BEKE,KE Holdings Inc.,0,0,0,0.62
BIDU,"Baidu, Inc.",0,0,0,1.54
BILI,Bilibili Inc.,0,0,0,0.62
BMA,Banco Macro S.A. ADR,28.3,64.53,2.45,0.23
BNTX,BioNTech SE,0,0,0,0.62
BP,BP p.l.c.,0,0,0,1.99
BRFS,BRF S.A.,0,0,0,0.24
BSAC,Banco Santander-Chile,0,0,0,0.27
BVN,Compania Mina Buenaventura S.A. ADR,9.27,21.02,1.68,0.08
BZ,Kanzhun Ltd ADR,0,0,0,0.68
CCU,Compania Cervecerias Unidas S.A. ADR,11.8,-10.13,1.25,0.09
CD,Chindata Group Holdings Limited,0,0,0,0.59
CIB,Bancolombia S.A. ADR,28.26,-0.98,1.37,0.18
CIG,Comp En DE MN Cemig ADR,0,0,0,0.05
CRH,CRH plc,0,0,0,0.6
CRTO,Criteo S.A. ADR,0,0,0,0.04
CSAN,Cosan Sa Spon ADR WI,14.36,9.95,1.52,0.68
DADA,Dada Nexus Limited,0,0,0,0.58
DAVA,Endava plc,0,0,0,0.75
DQ,Daqo New Energy ADR,24.83,-35.69,0.89,0.01
E,Eni S.P.A. ADR,32.76,14.31,1.7,0.98
EBR,Centrais Eletricas Brasileiras S.A.,0,0,0,0.2
EC,Ecopetrol S.A. ADR,12.76,21.87,1.69,0.39
EDU,New Oriental Education & Technology Group Inc.,0,0,0,0.27
ELP,Companhia Paranaense DE Energia [Copel] ADR,9.58,33.24,1.85,0.04
ENIC,Enersis Chile S.A. ADR,3.27,45.33,2.02,0.11
EQNR,Equinor ASA ADR,32.79,3.7,1.62,0.61
ERJ,Embraer S.A.,0,0,0,0.07
FMS,Fresenius Medical Care Corp ADR,20.21,-14.91,1.29,0.58
FMX,Fomento Economico Mexicano S.A.B. DE C.V. ADR,123.42,27.49,1.9,0.67
FUTU,Futu Holdings Limited,0,0,0,0.59
GDS,GDS Holdings Limited,0,0,0,0.03
GFI,Gold Fields Limited,0,0,0,0.06
GGAL,Grupo Financiero Galicia S.A.,0,0,0,0.18
GGB,Gerdau S.A. ADR,0,0,0,0.11
GLPG,Galapagos NV ADR,37.52,-8.31,1.39,0.09
GMAB,Genmab A/S,0,0,0,0.64
GSK,GSK plc,0,0,0,1.47
HCM,HUTCHMED (China) Limited,0,0,0,0.07
HIMX,"Himax Technologies, Inc.",0,0,0,0.03
HMC,"Honda Motor Co., Ltd.",0,0,0,0.9
HMY,Harmony Gold Mining ADR,5.9,46.04,2.28,0.02
HSBC,HSBC Holdings Plc ADR,38.61,23.91,1.72,3.42
HTHT,H World Group Limited,0,0,0,0.15
IBN,Icici Bank Ltd ADR,22.23,-1.38,1.47,0.47
IHG,Intercontinental Hotels Group ADR,78.57,2.67,1.6,0.2
