Date,Value,Group
1/3/2007,100,E&R India 100
1/4/2007,100.2275,E&R India 100
1/5/2007,100.3484,E&R India 100
1/8/2007,99.4577,E&R India 100
1/9/2007,98.853,E&R India 100
1/10/2007,97.9229,E&R India 100
1/11/2007,99.6017,E&R India 100
1/12/2007,101.8015,E&R India 100
1/15/2007,102.4158,E&R India 100
1/16/2007,102.4448,E&R India 100
1/17/2007,103.0423,E&R India 100
1/18/2007,103.5257,E&R India 100
1/19/2007,103.0326,E&R India 100
1/22/2007,103.2719,E&R India 100
1/23/2007,101.9224,E&R India 100
1/24/2007,102.3047,E&R India 100
1/25/2007,103.3935,E&R India 100
1/26/2007,103.3935,E&R India 100
1/29/2007,103.5722,E&R India 100
1/30/2007,103.5722,E&R India 100
1/31/2007,102.6869,E&R India 100
2/1/2007,103.3683,E&R India 100
2/2/2007,104.1629,E&R India 100
2/5/2007,104.6274,E&R India 100
2/6/2007,104.6794,E&R India 100
2/7/2007,105.2436,E&R India 100
2/8/2007,105.3239,E&R India 100
2/9/2007,103.9044,E&R India 100
2/12/2007,100.4239,E&R India 100
2/13/2007,99.8395,E&R India 100
2/14/2007,99.9916,E&R India 100
2/15/2007,102.2224,E&R India 100
2/16/2007,102.2224,E&R India 100
2/19/2007,102.4542,E&R India 100
2/20/2007,101.3015,E&R India 100
2/21/2007,101.5117,E&R India 100
2/22/2007,99.9701,E&R India 100
2/23/2007,97.445,E&R India 100
2/26/2007,97.9611,E&R India 100
2/27/2007,97.581,E&R India 100
2/28/2007,94.5958,E&R India 100
3/1/2007,94.683,E&R India 100
3/2/2007,93.7077,E&R India 100
3/5/2007,89.2447,E&R India 100
3/6/2007,89.5177,E&R India 100
3/7/2007,88.2872,E&R India 100
3/8/2007,90.7535,E&R India 100
3/9/2007,90.058,E&R India 100
3/12/2007,90.9535,E&R India 100
3/13/2007,92.0876,E&R India 100
3/14/2007,90.0139,E&R India 100
3/15/2007,90.4032,E&R India 100
3/16/2007,89.6797,E&R India 100
3/19/2007,91.2053,E&R India 100
3/20/2007,91.9401,E&R India 100
3/21/2007,92.013,E&R India 100
3/22/2007,93.1901,E&R India 100
3/23/2007,93.1493,E&R India 100
3/26/2007,92.8478,E&R India 100
3/27/2007,92.8478,E&R India 100
3/28/2007,91.5775,E&R India 100
3/29/2007,91.8647,E&R India 100
3/30/2007,92.7062,E&R India 100
4/2/2007,89.4014,E&R India 100
4/3/2007,90.1969,E&R India 100
4/4/2007,90.8831,E&R India 100
4/5/2007,91.6505,E&R India 100
4/6/2007,91.6505,E&R India 100
4/9/2007,93.7606,E&R India 100
4/10/2007,94.2338,E&R India 100
4/11/2007,94.4054,E&R India 100
4/12/2007,93.7633,E&R India 100
4/13/2007,95.0401,E&R India 100
4/16/2007,97.0206,E&R India 100
4/17/2007,96.8341,E&R India 100
4/18/2007,96.8689,E&R India 100
4/19/2007,97.0016,E&R India 100
4/20/2007,98.0371,E&R India 100
4/23/2007,97.8519,E&R India 100
4/24/2007,98.8257,E&R India 100
4/25/2007,99.8637,E&R India 100
4/26/2007,100.3812,E&R India 100
4/27/2007,99.1202,E&R India 100
4/30/2007,100.0019,E&R India 100
5/1/2007,100.0019,E&R India 100
