Date,Value,Group,Years
2007,0,E&R India 100,2
2008,-2.271338407,E&R India 100,2
2009,10.08543691,E&R India 100,2
2010,58.5753286,E&R India 100,2
2011,14.0847037,E&R India 100,2
2012,14.93905201,E&R India 100,2
2013,24.4180124,E&R India 100,2
2014,32.7343343,E&R India 100,2
2015,33.04303798,E&R India 100,2
2016,13.61416537,E&R India 100,2
2017,27.02260478,E&R India 100,2
2018,20.29657805,E&R India 100,2
2019,10.3454098,E&R India 100,2
2020,28.51307492,E&R India 100,2
2021,39.7722377,E&R India 100,2
2022,27.63537825,E&R India 100,2
2023,0,E&R India 100,2
2007,0,S&P BSE 100,2
2008,-8.31560031,S&P BSE 100,2
2009,0.536994594,S&P BSE 100,2
2010,42.03704552,S&P BSE 100,2
2011,-5.721640805,S&P BSE 100,2
2012,0.211425959,S&P BSE 100,2
2013,17.42324412,S&P BSE 100,2
2014,17.92845597,S&P BSE 100,2
2015,13.57225706,S&P BSE 100,2
2016,1.258050182,S&P BSE 100,2
2017,16.33147603,S&P BSE 100,2
2018,15.14229731,S&P BSE 100,2
2019,6.063299553,S&P BSE 100,2
2020,15.66621315,S&P BSE 100,2
2021,22.91494994,S&P BSE 100,2
2022,14.68298572,S&P BSE 100,2
2023,0,S&P BSE 100,2
2007,0,E&R India 100,3
2008,0,E&R India 100,3
2009,25.90771668,E&R India 100,3
2010,18.3519014,E&R India 100,3
2011,36.81174474,E&R India 100,3
2012,21.58764479,E&R India 100,3
2013,14.04020061,E&R India 100,3
2014,34.02073186,E&R India 100,3
2015,26.10952459,E&R India 100,3
2016,26.81816717,E&R India 100,3
2017,22.30170492,E&R India 100,3
2018,18.32052722,E&R India 100,3
2019,20.12253454,E&R India 100,3
2020,19.31417398,E&R India 100,3
2021,33.10630763,E&R India 100,3
2022,30.84081961,E&R India 100,3
2023,0,E&R India 100,3
2007,0,S&P BSE 100,3
2008,0,S&P BSE 100,3
2009,17.05183863,S&P BSE 100,3
2010,5.787121234,S&P BSE 100,3
2011,18.78114497,S&P BSE 100,3
2012,5.570075478,S&P BSE 100,3
2013,2.371944038,S&P BSE 100,3
2014,21.33680666,S&P BSE 100,3
2015,11.27916477,S&P BSE 100,3
2016,10.5600107,S&P BSE 100,3
2017,10.21451149,S&P BSE 100,3
2018,11.6067042,S&P BSE 100,3
2019,13.41801107,S&P BSE 100,3
2020,11.16319561,S&P BSE 100,3
2021,18.59977949,S&P BSE 100,3
2022,16.90965306,S&P BSE 100,3
2023,0,S&P BSE 100,3
