Date,Group,Portfolio Return,Peak,Drawdown
3/31/2011,India Under-served,100.00,100.00,0.00
4/30/2011,India Under-served,99.19,100.00,-0.01
5/31/2011,India Under-served,97.61,100.00,-0.02
6/30/2011,India Under-served,97.16,100.00,-0.03
7/31/2011,India Under-served,98.70,100.00,-0.01
8/31/2011,India Under-served,94.83,100.00,-0.05
9/29/2011,India Under-served,93.95,100.00,-0.06
10/31/2011,India Under-served,95.87,100.00,-0.04
11/30/2011,India Under-served,92.54,100.00,-0.07
12/31/2011,India Under-served,88.94,100.00,-0.11
1/31/2012,India Under-served,97.60,100.00,-0.02
2/29/2012,India Under-served,101.15,101.15,0.00
3/31/2012,India Under-served,99.93,101.15,-0.01
4/30/2012,India Under-served,98.08,101.15,-0.03
5/31/2012,India Under-served,95.93,101.15,-0.05
6/30/2012,India Under-served,100.71,101.15,0.00
7/31/2012,India Under-served,101.40,101.40,0.00
8/31/2012,India Under-served,104.28,104.28,0.00
9/30/2012,India Under-served,112.34,112.34,0.00
10/31/2012,India Under-served,113.74,113.74,0.00
11/30/2012,India Under-served,121.09,121.09,0.00
12/31/2012,India Under-served,123.30,123.30,0.00
1/31/2013,India Under-served,117.84,123.30,-0.04
2/28/2013,India Under-served,113.08,123.30,-0.08
3/31/2013,India Under-served,114.69,123.30,-0.07
4/30/2013,India Under-served,119.49,123.30,-0.03
5/31/2013,India Under-served,121.78,123.30,-0.01
6/30/2013,India Under-served,117.82,123.30,-0.04
7/31/2013,India Under-served,115.33,123.30,-0.06
8/31/2013,India Under-served,118.47,123.30,-0.04
9/30/2013,India Under-served,128.28,128.28,0.00
10/31/2013,India Under-served,139.54,139.54,0.00
11/30/2013,India Under-served,143.98,143.98,0.00
12/31/2013,India Under-served,149.38,149.38,0.00
1/31/2014,India Under-served,138.72,149.38,-0.07
2/28/2014,India Under-served,144.37,149.38,-0.03
3/31/2014,India Under-served,147.68,149.38,-0.01
4/30/2014,India Under-served,151.72,151.72,0.00
5/31/2014,India Under-served,172.72,172.72,0.00
6/30/2014,India Under-served,183.00,183.00,0.00
7/31/2014,India Under-served,178.26,183.00,-0.03
8/31/2014,India Under-served,181.04,183.00,-0.01
9/30/2014,India Under-served,188.38,188.38,0.00
10/31/2014,India Under-served,196.05,196.05,0.00
11/30/2014,India Under-served,197.02,197.02,0.00
12/31/2014,India Under-served,200.92,200.92,0.00
1/31/2015,India Under-served,202.60,202.60,0.00
2/28/2015,India Under-served,207.48,207.48,0.00
3/31/2015,India Under-served,214.29,214.29,0.00
4/30/2015,India Under-served,210.91,214.29,-0.02
5/31/2015,India Under-served,211.12,214.29,-0.01
6/30/2015,India Under-served,209.14,214.29,-0.02
7/31/2015,India Under-served,224.21,224.21,0.00
8/31/2015,India Under-served,211.87,224.21,-0.06
9/30/2015,India Under-served,219.13,224.21,-0.02
10/31/2015,India Under-served,224.67,224.67,0.00
11/30/2015,India Under-served,238.66,238.66,0.00
12/31/2015,India Under-served,245.59,245.59,0.00
1/31/2016,India Under-served,231.78,245.59,-0.06
2/29/2016,India Under-served,211.72,245.59,-0.14
3/31/2016,India Under-served,235.35,245.59,-0.04
4/30/2016,India Under-served,239.64,245.59,-0.02
5/31/2016,India Under-served,247.51,247.51,0.00
6/30/2016,India Under-served,261.47,261.47,0.00
7/31/2016,India Under-served,269.23,269.23,0.00
8/31/2016,India Under-served,277.22,277.22,0.00
9/30/2016,India Under-served,278.56,278.56,0.00
10/31/2016,India Under-served,288.30,288.30,0.00
11/30/2016,India Under-served,269.42,288.30,-0.07
12/31/2016,India Under-served,266.83,288.30,-0.07
1/31/2017,India Under-served,272.61,288.30,-0.05
2/28/2017,India Under-served,279.72,288.30,-0.03
3/31/2017,India Under-served,291.11,291.11,0.00
4/30/2017,India Under-served,301.74,301.74,0.00
5/31/2017,India Under-served,291.87,301.74,-0.03
6/30/2017,India Under-served,288.03,301.74,-0.05
7/31/2017,India Under-served,291.05,301.74,-0.04
8/31/2017,India Under-served,287.62,301.74,-0.05
9/30/2017,India Under-served,282.75,301.74,-0.06
10/31/2017,India Under-served,295.31,301.74,-0.02
11/30/2017,India Under-served,296.41,301.74,-0.02
12/31/2017,India Under-served,312.40,312.40,0.00
1/31/2018,India Under-served,315.25,315.25,0.00
2/28/2018,India Under-served,305.49,315.25,-0.03
3/31/2018,India Under-served,296.77,315.25,-0.06
4/30/2018,India Under-served,325.12,325.12,0.00
5/31/2018,India Under-served,308.93,325.12,-0.05
6/30/2018,India Under-served,303.12,325.12,-0.07
7/31/2018,India Under-served,299.45,325.12,-0.08
8/31/2018,India Under-served,319.48,325.12,-0.02
9/30/2018,India Under-served,288.58,325.12,-0.11
10/31/2018,India Under-served,300.70,325.12,-0.08
11/30/2018,India Under-served,297.97,325.12,-0.08
12/31/2018,India Under-served,293.71,325.12,-0.10
1/31/2019,India Under-served,283.01,325.12,-0.13
2/28/2019,India Under-served,271.93,325.12,-0.16
3/31/2019,India Under-served,292.83,325.12,-0.10
4/30/2019,India Under-served,287.66,325.12,-0.12
5/31/2019,India Under-served,290.00,325.12,-0.11
6/30/2019,India Under-served,274.56,325.12,-0.16
7/31/2019,India Under-served,248.34,325.12,-0.24
8/31/2019,India Under-served,246.40,325.12,-0.24
9/30/2019,India Under-served,274.95,325.12,-0.15
10/31/2019,India Under-served,265.47,325.12,-0.18
11/30/2019,India Under-served,262.50,325.12,-0.19
12/31/2019,India Under-served,265.15,325.12,-0.18
1/31/2020,India Under-served,279.85,325.12,-0.14
2/29/2020,India Under-served,258.94,325.12,-0.20
3/31/2020,India Under-served,179.26,325.12,-0.45
4/30/2020,India Under-served,209.30,325.12,-0.36
5/31/2020,India Under-served,201.96,325.12,-0.38
6/30/2020,India Under-served,229.52,325.12,-0.29
7/31/2020,India Under-served,259.01,325.12,-0.20
8/31/2020,India Under-served,284.13,325.12,-0.13
9/30/2020,India Under-served,282.66,325.12,-0.13
10/31/2020,India Under-served,268.23,325.12,-0.17
11/30/2020,India Under-served,300.62,325.12,-0.08
12/31/2020,India Under-served,312.82,325.12,-0.04
1/31/2021,India Under-served,324.37,325.12,0.00
2/28/2021,India Under-served,335.61,335.61,0.00
3/31/2021,India Under-served,340.16,340.16,0.00
4/30/2021,India Under-served,347.66,347.66,0.00
5/31/2021,India Under-served,379.52,379.52,0.00
6/30/2021,India Under-served,429.85,429.85,0.00
7/31/2021,India Under-served,528.49,528.49,0.00
8/31/2021,India Under-served,597.62,597.62,0.00
9/30/2021,India Under-served,608.30,608.30,0.00
10/31/2021,India Under-served,606.87,608.30,0.00
11/30/2021,India Under-served,556.35,608.30,-0.09
12/31/2021,India Under-served,601.25,608.30,-0.01
1/31/2022,India Under-served,600.60,608.30,-0.01
2/28/2022,India Under-served,582.50,608.30,-0.04
3/31/2022,India Under-served,648.76,648.76,0.00
4/30/2022,India Under-served,682.57,682.57,0.00
5/31/2022,India Under-served,632.57,682.57,-0.07
6/30/2022,India Under-served,628.63,682.57,-0.08
7/31/2022,India Under-served,676.18,682.57,-0.01
8/31/2022,India Under-served,719.94,719.94,0.00
9/30/2022,India Under-served,681.19,719.94,-0.05
10/31/2022,India Under-served,692.57,719.94,-0.04
11/30/2022,India Under-served,737.35,737.35,0.00
12/31/2022,India Under-served,708.62,737.35,-0.04
1/31/2023,India Under-served,681.59,737.35,-0.08
2/28/2023,India Under-served,672.68,737.35,-0.09
3/31/2023,India Under-served,668.79,737.35,-0.09
4/30/2023,India Under-served,710.27,737.35,-0.04
5/31/2023,India Under-served,701.56,737.35,-0.05
6/30/2023,India Under-served,763.01,763.01,0.00
7/31/2023,India Under-served,812.15,812.15,0.00
8/31/2023,India Under-served,848.85,848.85,0.00
9/30/2023,India Under-served,880.56,880.56,0.00
10/31/2023,India Under-served,861.26,880.56,-0.02
11/30/2023,India Under-served,903.09,903.09,0.00
12/31/2023,India Under-served,904.65,904.65,0.00
1/31/2024,India Under-served,938.04,938.04,0.00
2/29/2024,India Under-served,906.41,938.04,-0.03
3/31/2011,Nifty 50,100.00,100.00,0.00
4/30/2011,Nifty 50,98.42,100.00,-0.02
5/31/2011,Nifty 50,95.18,100.00,-0.05
6/30/2011,Nifty 50,96.67,100.00,-0.03
7/31/2011,Nifty 50,93.84,100.00,-0.06
8/31/2011,Nifty 50,85.61,100.00,-0.14
9/29/2011,Nifty 50,84.62,100.00,-0.15
10/31/2011,Nifty 50,91.18,100.00,-0.09
11/30/2011,Nifty 50,82.72,100.00,-0.17
12/31/2011,Nifty 50,79.16,100.00,-0.21
1/31/2012,Nifty 50,89.00,100.00,-0.11
2/29/2012,Nifty 50,92.18,100.00,-0.08
3/31/2012,Nifty 50,90.65,100.00,-0.09
4/30/2012,Nifty 50,89.85,100.00,-0.10
5/31/2012,Nifty 50,84.30,100.00,-0.16
6/30/2012,Nifty 50,90.37,100.00,-0.10
7/31/2012,Nifty 50,89.51,100.00,-0.10
8/31/2012,Nifty 50,90.02,100.00,-0.10
9/30/2012,Nifty 50,97.63,100.00,-0.02
10/31/2012,Nifty 50,96.20,100.00,-0.04
11/30/2012,Nifty 50,100.65,100.65,0.00
12/31/2012,Nifty 50,101.09,101.09,0.00
1/31/2013,Nifty 50,103.31,103.31,0.00
2/28/2013,Nifty 50,97.46,103.31,-0.06
3/31/2013,Nifty 50,97.28,103.31,-0.06
4/30/2013,Nifty 50,101.06,103.31,-0.02
5/31/2013,Nifty 50,102.46,103.31,-0.01
6/30/2013,Nifty 50,100.00,103.31,-0.03
7/31/2013,Nifty 50,98.29,103.31,-0.05
8/31/2013,Nifty 50,93.66,103.31,-0.09
9/30/2013,Nifty 50,98.17,103.31,-0.05
10/31/2013,Nifty 50,107.82,107.82,0.00
11/30/2013,Nifty 50,105.72,107.82,-0.02
12/31/2013,Nifty 50,107.91,107.91,0.00
1/31/2014,Nifty 50,104.24,107.91,-0.03
2/28/2014,Nifty 50,107.44,107.91,0.00
3/31/2014,Nifty 50,114.76,114.76,0.00
4/30/2014,Nifty 50,114.62,114.76,0.00
5/31/2014,Nifty 50,123.76,123.76,0.00
6/30/2014,Nifty 50,130.29,130.29,0.00
7/31/2014,Nifty 50,132.17,132.17,0.00
8/31/2014,Nifty 50,136.16,136.16,0.00
9/30/2014,Nifty 50,136.34,136.34,0.00
10/31/2014,Nifty 50,142.45,142.45,0.00
11/30/2014,Nifty 50,145.10,145.10,0.00
12/31/2014,Nifty 50,141.78,145.10,-0.02
1/31/2015,Nifty 50,150.78,150.78,0.00
2/28/2015,Nifty 50,152.38,152.38,0.00
3/31/2015,Nifty 50,145.34,152.38,-0.05
4/30/2015,Nifty 50,140.05,152.38,-0.08
5/31/2015,Nifty 50,144.36,152.38,-0.05
6/30/2015,Nifty 50,143.25,152.38,-0.06
7/31/2015,Nifty 50,146.06,152.38,-0.04
8/31/2015,Nifty 50,136.45,152.38,-0.10
9/30/2015,Nifty 50,136.06,152.38,-0.11
10/31/2015,Nifty 50,138.06,152.38,-0.09
11/30/2015,Nifty 50,135.83,152.38,-0.11
12/31/2015,Nifty 50,136.02,152.38,-0.11
1/31/2016,Nifty 50,129.47,152.38,-0.15
2/29/2016,Nifty 50,119.60,152.38,-0.22
3/31/2016,Nifty 50,132.46,152.38,-0.13
4/30/2016,Nifty 50,134.37,152.38,-0.12
5/31/2016,Nifty 50,139.68,152.38,-0.08
6/30/2016,Nifty 50,141.86,152.38,-0.07
7/31/2016,Nifty 50,147.87,152.38,-0.03
8/31/2016,Nifty 50,150.40,152.38,-0.01
9/30/2016,Nifty 50,147.40,152.38,-0.03
10/31/2016,Nifty 50,147.65,152.38,-0.03
11/30/2016,Nifty 50,140.78,152.38,-0.08
12/31/2016,Nifty 50,140.12,152.38,-0.08
1/31/2017,Nifty 50,146.55,152.38,-0.04
2/28/2017,Nifty 50,151.99,152.38,0.00
3/31/2017,Nifty 50,157.03,157.03,0.00
4/30/2017,Nifty 50,159.26,159.26,0.00
5/31/2017,Nifty 50,164.69,164.69,0.00
6/30/2017,Nifty 50,162.97,164.69,-0.01
7/31/2017,Nifty 50,172.49,172.49,0.00
8/31/2017,Nifty 50,169.77,172.49,-0.02
9/30/2017,Nifty 50,167.55,172.49,-0.03
10/31/2017,Nifty 50,176.91,176.91,0.00
11/30/2017,Nifty 50,175.05,176.91,-0.01
12/31/2017,Nifty 50,180.26,180.26,0.00
1/31/2018,Nifty 50,188.76,188.76,0.00
2/28/2018,Nifty 50,179.61,188.76,-0.05
3/31/2018,Nifty 50,173.12,188.76,-0.08
4/30/2018,Nifty 50,183.83,188.76,-0.03
5/31/2018,Nifty 50,183.77,188.76,-0.03
6/30/2018,Nifty 50,183.40,188.76,-0.03
7/31/2018,Nifty 50,194.39,194.39,0.00
8/31/2018,Nifty 50,199.94,199.94,0.00
9/30/2018,Nifty 50,187.10,199.94,-0.06
10/31/2018,Nifty 50,177.79,199.94,-0.11
11/30/2018,Nifty 50,186.18,199.94,-0.07
12/31/2018,Nifty 50,185.94,199.94,-0.07
1/31/2019,Nifty 50,185.40,199.94,-0.07
2/28/2019,Nifty 50,184.74,199.94,-0.08
3/31/2019,Nifty 50,198.97,199.94,0.00
4/30/2019,Nifty 50,201.10,201.10,0.00
5/31/2019,Nifty 50,204.09,204.09,0.00
6/30/2019,Nifty 50,201.79,204.09,-0.01
7/31/2019,Nifty 50,190.31,204.09,-0.07
8/31/2019,Nifty 50,188.69,204.09,-0.08
9/30/2019,Nifty 50,196.41,204.09,-0.04
10/31/2019,Nifty 50,203.31,204.09,0.00
11/30/2019,Nifty 50,206.37,206.37,0.00
12/31/2019,Nifty 50,208.29,208.29,0.00
1/31/2020,Nifty 50,204.76,208.29,-0.02
