Date,Group,Portfolio Return,Peak,Drawdown
2011-03-31,India Under-served,100.0,100.0,0.0
2011-04-30,India Under-served,99.18617633,100.0,-0.00813823670000005
2011-05-31,India Under-served,97.60595223,100.0,-0.023940477700000004
2011-06-30,India Under-served,97.16342912,100.0,-0.028365708799999965
2011-07-31,India Under-served,98.70353871,100.0,-0.012964612899999964
2011-08-31,India Under-served,94.83211337,100.0,-0.05167886629999998
2011-09-29,India Under-served,93.95200062,100.0,-0.06047999379999993
2011-10-31,India Under-served,95.87269256,100.0,-0.04127307439999996
2011-11-30,India Under-served,92.53842325,100.0,-0.07461576750000005
2011-12-31,India Under-served,88.94324254,100.0,-0.1105675746
2012-01-31,India Under-served,97.603469,100.0,-0.02396530999999996
2012-02-29,India Under-served,101.1507743,101.1507743,0.0
2012-03-31,India Under-served,99.92896612,101.1507743,-0.012079078864747716
2012-04-30,India Under-served,98.08163002,101.1507743,-0.030342271734839197
2012-05-31,India Under-served,95.93331104,101.1507743,-0.0515810511200406
2012-06-30,India Under-served,100.7137352,101.1507743,-0.004320669841871815
2012-07-31,India Under-served,101.3989279,101.3989279,0.0
2012-08-31,India Under-served,104.2845501,104.2845501,0.0
2012-09-30,India Under-served,112.3420974,112.3420974,0.0
2012-10-31,India Under-served,113.7390038,113.7390038,0.0
2012-11-30,India Under-served,121.087036,121.087036,0.0
2012-12-31,India Under-served,123.3012537,123.3012537,0.0
2013-01-31,India Under-served,117.8403056,123.3012537,-0.04428947748809475
2013-02-28,India Under-served,113.0806297,123.3012537,-0.08289148482518634
2013-03-31,India Under-served,114.6933694,123.3012537,-0.06981181489803465
2013-04-30,India Under-served,119.4900903,123.3012537,-0.03090936454930789
2013-05-31,India Under-served,121.7804217,123.3012537,-0.012334278479440948
2013-06-30,India Under-served,117.8202526,123.3012537,-0.04445211168197554
2013-07-31,India Under-served,115.3260063,123.3012537,-0.06468099196626417
2013-08-31,India Under-served,118.4738597,123.3012537,-0.039151215864725614
2013-09-30,India Under-served,128.2841664,128.2841664,0.0
2013-10-31,India Under-served,139.5364894,139.5364894,0.0
2013-11-30,India Under-served,143.9849531,143.9849531,0.0
2013-12-31,India Under-served,149.3813881,149.3813881,0.0
2014-01-31,India Under-served,138.7210648,149.3813881,-0.07136312920632189
2014-02-28,India Under-served,144.3669756,149.3813881,-0.03356785315613237
2014-03-31,India Under-served,147.679092,149.3813881,-0.011395637178444535
2014-04-30,India Under-served,151.7242507,151.7242507,0.0
2014-05-31,India Under-served,172.7185952,172.7185952,0.0
2014-06-30,India Under-served,182.9964719,182.9964719,0.0
2014-07-31,India Under-served,178.2580899,182.9964719,-0.02589329701716507
2014-08-31,India Under-served,181.0430021,182.9964719,-0.010674904164641404
2014-09-30,India Under-served,188.3832431,188.3832431,0.0
2014-10-31,India Under-served,196.0471721,196.0471721,0.0
2014-11-30,India Under-served,197.0201805,197.0201805,0.0
2014-12-31,India Under-served,200.9177424,200.9177424,0.0
2015-01-31,India Under-served,202.5973457,202.5973457,0.0
2015-02-28,India Under-served,207.480795,207.480795,0.0
2015-03-31,India Under-served,214.2916183,214.2916183,0.0
2015-04-30,India Under-served,210.9081816,214.2916183,-0.01578893624884256
2015-05-31,India Under-served,211.1180853,214.2916183,-0.0148094126367425
2015-06-30,India Under-served,209.1369917,214.2916183,-0.024054261388719935
2015-07-31,India Under-served,224.2062691,224.2062691,0.0
2015-08-31,India Under-served,211.8694552,224.2062691,-0.055024393160467526
2015-09-30,India Under-served,219.1315728,224.2062691,-0.022634051761222584
2015-10-31,India Under-served,224.6663988,224.6663988,0.0
2015-11-30,India Under-served,238.6557981,238.6557981,0.0
2015-12-31,India Under-served,245.5911658,245.5911658,0.0
2016-01-31,India Under-served,231.7834522,245.5911658,-0.056222354558325076
2016-02-29,India Under-served,211.7175517,245.5911658,-0.13792684272521988
2016-03-31,India Under-served,235.347383,245.5911658,-0.04171071368398541
2016-04-30,India Under-served,239.6399359,245.5911658,-0.024232263732346302
2016-05-31,India Under-served,247.50547,247.50547,0.0
2016-06-30,India Under-served,261.46914,261.46914,0.0
2016-07-31,India Under-served,269.232262,269.232262,0.0
2016-08-31,India Under-served,277.220109,277.220109,0.0
2016-09-30,India Under-served,278.5562609,278.5562609,0.0
2016-10-31,India Under-served,288.2971105,288.2971105,0.0
2016-11-30,India Under-served,269.4224917,288.2971105,-0.06546933046698
2016-12-31,India Under-served,266.834646,288.2971105,-0.07444564554524023
2017-01-31,India Under-served,272.6143836,288.2971105,-0.05439779425052538
2017-02-28,India Under-served,279.7171438,288.2971105,-0.029760848747736584
2017-03-31,India Under-served,291.1076042,291.1076042,0.0
2017-04-30,India Under-served,301.7430596,301.7430596,0.0
2017-05-31,India Under-served,291.8737517,301.7430596,-0.03270765502637585
2017-06-30,India Under-served,288.0323627,301.7430596,-0.04543831734912242
2017-07-31,India Under-served,291.0527186,301.7430596,-0.03542862266383671
2017-08-31,India Under-served,287.6210305,301.7430596,-0.046801504295477636
2017-09-30,India Under-served,282.7543156,301.7430596,-0.06293017650570677
2017-10-31,India Under-served,295.3108965,301.7430596,-0.02131668946595373
2017-11-30,India Under-served,296.405404,301.7430596,-0.01768940636803964
2017-12-31,India Under-served,312.3989699,312.3989699,0.0
2018-01-31,India Under-served,315.2465752,315.2465752,0.0
2018-02-28,India Under-served,305.4881781,315.2465752,-0.030954807657494792
2018-03-31,India Under-served,296.7653399,315.2465752,-0.05862469810583998
2018-04-30,India Under-served,325.1185949,325.1185949,0.0
2018-05-31,India Under-served,308.9276889,325.1185949,-0.049799999919967614
2018-06-30,India Under-served,303.1200521,325.1185949,-0.06766313322302069
2018-07-31,India Under-served,299.4451291,325.1185949,-0.07896646393878726
