Date,Group,Portfolio Return
2011-03-31,India Under-served,100.0
2011-04-30,India Under-served,99.18617633
2011-05-31,India Under-served,97.60595223
2011-06-30,India Under-served,97.16342912
2011-07-31,India Under-served,98.70353871
2011-08-31,India Under-served,94.83211337
2011-09-29,India Under-served,93.95200062
2011-10-31,India Under-served,95.87269256
2011-11-30,India Under-served,92.53842325
2011-12-31,India Under-served,88.94324254
2012-01-31,India Under-served,97.603469
2012-02-29,India Under-served,101.1507743
2012-03-31,India Under-served,99.92896612
2012-04-30,India Under-served,98.08163002
2012-05-31,India Under-served,95.93331104
2012-06-30,India Under-served,100.7137352
2012-07-31,India Under-served,101.3989279
2012-08-31,India Under-served,104.2845501
2012-09-30,India Under-served,112.3420974
2012-10-31,India Under-served,113.7390038
2012-11-30,India Under-served,121.087036
2012-12-31,India Under-served,123.3012537
2013-01-31,India Under-served,117.8403056
2013-02-28,India Under-served,113.0806297
2013-03-31,India Under-served,114.6933694
2013-04-30,India Under-served,119.4900903
2013-05-31,India Under-served,121.7804217
2013-06-30,India Under-served,117.8202526
2013-07-31,India Under-served,115.3260063
2013-08-31,India Under-served,118.4738597
2013-09-30,India Under-served,128.2841664
2013-10-31,India Under-served,139.5364894
2013-11-30,India Under-served,143.9849531
2013-12-31,India Under-served,149.3813881
2014-01-31,India Under-served,138.7210648
2014-02-28,India Under-served,144.3669756
2014-03-31,India Under-served,147.679092
2014-04-30,India Under-served,151.7242507
2014-05-31,India Under-served,172.7185952
2014-06-30,India Under-served,182.9964719
2014-07-31,India Under-served,178.2580899
2014-08-31,India Under-served,181.0430021
2014-09-30,India Under-served,188.3832431
2014-10-31,India Under-served,196.0471721
2014-11-30,India Under-served,197.0201805
2014-12-31,India Under-served,200.9177424
2015-01-31,India Under-served,202.5973457
2015-02-28,India Under-served,207.480795
2015-03-31,India Under-served,214.2916183
2015-04-30,India Under-served,210.9081816
2015-05-31,India Under-served,211.1180853
2015-06-30,India Under-served,209.1369917
2015-07-31,India Under-served,224.2062691
2015-08-31,India Under-served,211.8694552
2015-09-30,India Under-served,219.1315728
2015-10-31,India Under-served,224.6663988
2015-11-30,India Under-served,238.6557981
2015-12-31,India Under-served,245.5911658
2016-01-31,India Under-served,231.7834522
2016-02-29,India Under-served,211.7175517
2016-03-31,India Under-served,235.347383
2016-04-30,India Under-served,239.6399359
2016-05-31,India Under-served,247.50547
2016-06-30,India Under-served,261.46914
2016-07-31,India Under-served,269.232262
2016-08-31,India Under-served,277.220109
2016-09-30,India Under-served,278.5562609
2016-10-31,India Under-served,288.2971105
2016-11-30,India Under-served,269.4224917
2016-12-31,India Under-served,266.834646
2017-01-31,India Under-served,272.6143836
2017-02-28,India Under-served,279.7171438
2017-03-31,India Under-served,291.1076042
2017-04-30,India Under-served,301.7430596
2017-05-31,India Under-served,291.8737517
2017-06-30,India Under-served,288.0323627
2017-07-31,India Under-served,291.0527186
2017-08-31,India Under-served,287.6210305
2017-09-30,India Under-served,282.7543156
2017-10-31,India Under-served,295.3108965
2017-11-30,India Under-served,296.405404
2017-12-31,India Under-served,312.3989699
2018-01-31,India Under-served,315.2465752
2018-02-28,India Under-served,305.4881781
2018-03-31,India Under-served,296.7653399
2018-04-30,India Under-served,325.1185949
2018-05-31,India Under-served,308.9276889
2018-06-30,India Under-served,303.1200521
2018-07-31,India Under-served,299.4451291
2018-08-31,India Under-served,319.4760207
2018-09-30,India Under-served,288.5842285
2018-10-31,India Under-served,300.6959286
2018-11-30,India Under-served,297.9728535
2018-12-31,India Under-served,293.7131505
2019-01-31,India Under-served,283.0095129
2019-02-28,India Under-served,271.9306128
2019-03-31,India Under-served,292.8295698
2019-04-30,India Under-served,287.6568778
2019-05-31,India Under-served,290.0039408
2019-06-30,India Under-served,274.5640374
2019-07-31,India Under-served,248.3360996
2019-08-31,India Under-served,246.3983331
2019-09-30,India Under-served,274.9536541
2019-10-31,India Under-served,265.4712675
2019-11-30,India Under-served,262.4979405
2019-12-31,India Under-served,265.1484652
2020-01-31,India Under-served,279.8548487
2020-02-29,India Under-served,258.9373148
2020-03-31,India Under-served,179.2637385
2020-04-30,India Under-served,209.3048537
2020-05-31,India Under-served,201.9564712
2020-06-30,India Under-served,229.5212199
2020-07-31,India Under-served,259.0096609
2020-08-31,India Under-served,284.1250332
2020-09-30,India Under-served,282.6585992
2020-10-31,India Under-served,268.2252639
2020-11-30,India Under-served,300.6162208
