Date,Group,Portfolio Return
2012-01-31,India Under-served,100.0
2012-02-29,India Under-served,103.63440494107847
2012-03-31,India Under-served,102.38259679069398
2012-04-30,India Under-served,100.4899016652779
2012-05-31,India Under-served,98.28883340201772
2012-06-30,India Under-served,103.18663489306921
2012-07-31,India Under-served,103.88865164208457
2012-08-31,India Under-served,106.84512668294607
2012-09-30,India Under-served,115.1005169703548
2012-10-31,India Under-served,116.53172265834117
2012-11-30,India Under-served,124.06017659064965
2012-12-31,India Under-served,126.32876163448657
2013-01-31,India Under-served,120.7337267899771
2013-02-28,India Under-served,115.85718300647694
2013-03-31,India Under-served,117.50952151096186
2013-04-30,India Under-served,122.42401988806361
2013-05-31,India Under-served,124.7705875085239
2013-06-30,India Under-served,120.71318141366471
2013-07-31,India Under-served,118.15769201809825
2013-08-31,India Under-served,121.38283701781133
2013-09-30,India Under-served,131.43402351816
2013-10-31,India Under-served,142.96263322362034
2013-11-30,India Under-served,147.520323381129
2013-12-31,India Under-served,153.0492610872263
2014-01-31,India Under-served,142.1271868933265
2014-02-28,India Under-served,147.91172596539573
2014-03-31,India Under-served,151.30516723744725
2014-04-30,India Under-served,155.44964974554335
2014-05-31,India Under-served,176.9594840937467
2014-06-30,India Under-served,187.48972119013513
2014-07-31,India Under-served,182.6349941516935
2014-08-31,India Under-served,185.4882863845751
2014-09-30,India Under-served,193.0087578137207
2014-10-31,India Under-served,200.8608649965095
2014-11-30,India Under-served,201.85776439974688
2014-12-31,India Under-served,205.8510260531826
2015-01-31,India Under-served,207.57186990966477
2015-02-28,India Under-served,212.57522619406078
2015-03-31,India Under-served,219.55328073431488
2015-04-30,India Under-served,216.08676798157654
2015-05-31,India Under-served,216.30182560416984
2015-06-30,India Under-served,214.27208873078067
2015-07-31,India Under-served,229.71137337341972
2015-08-31,India Under-served,217.07164445148973
2015-09-30,India Under-served,224.5120742583442
2015-10-31,India Under-served,230.18280098220689
2015-11-30,India Under-served,244.51569246990596
2015-12-31,India Under-served,251.62134944199573
2016-01-31,India Under-served,237.47460471922363
2016-02-29,India Under-served,216.916011151202
2016-03-31,India Under-served,241.1260433786426
2016-04-30,India Under-served,245.52399454162844
2016-05-31,India Under-served,253.58265698527578
2016-06-30,India Under-served,267.8891874222216
2016-07-31,India Under-served,275.8429231649543
2016-08-31,India Under-served,284.02690174874823
2016-09-30,India Under-served,285.3958611860404
2016-10-31,India Under-served,295.37588515424585
2016-11-30,India Under-served,276.0378237171058
2016-12-31,India Under-served,273.38643670544127
2017-01-31,India Under-served,279.3080885270584
2017-02-28,India Under-served,286.58524811244155
2017-03-31,India Under-served,298.25538700883675
2017-04-30,India Under-served,309.15198270258196
2017-05-31,India Under-served,299.0403463016258
2017-06-30,India Under-served,295.1046368034317
2017-07-31,India Under-served,298.1991537616352
2017-08-31,India Under-served,294.68320485617164
2017-09-30,India Under-served,289.6969938640193
2017-10-31,India Under-served,302.56188588952716
2017-11-30,India Under-served,303.6832676510708
2017-12-31,India Under-served,320.06953554079104
2018-01-31,India Under-served,322.98706022426313
2018-02-28,India Under-served,312.98905789916137
2018-03-31,India Under-served,304.05204132652295
2018-04-30,India Under-served,333.10147501007367
2018-05-31,India Under-served,316.5130215812309
2018-06-30,India Under-served,310.56278552968234
2018-07-31,India Under-served,306.79762939573385
2018-08-31,India Under-served,327.3203544640406
2018-09-30,India Under-served,295.6700529773178
2018-10-31,India Under-served,308.07914071168926
2018-11-30,India Under-served,305.2892039113896
2018-12-31,India Under-served,300.92490923657635
2019-01-31,India Under-served,289.9584572142615
2019-02-28,India Under-served,278.60752859101757
2019-03-31,India Under-served,300.01963331856575
2019-04-30,India Under-served,294.71993234174903
2019-05-31,India Under-served,297.12462453562995
2019-06-30,India Under-served,281.30561363551533
2019-07-31,India Under-served,254.43368165531083
2019-08-31,India Under-served,252.44833572462468
2019-09-30,India Under-served,281.7047968858566
2019-10-31,India Under-served,271.98958215306874
2019-11-30,India Under-served,268.94324883063325
2019-12-31,India Under-served,271.65885384668036
2020-01-31,India Under-served,286.7263341838803
2020-02-29,India Under-served,265.29519642380745
