Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Drawdown,Group,Holding Yrs
-1.417,2.98,7.47,-0.19,-0.02,1.09,-5.248,S&P BSE MidCap,1
-1.159,2.98,7.49,-0.15,0.01,1.09,-5.4217,S&P BSE MidCap,1
-1.619,3.03,7.5,-0.22,-0.01,1.09,-5.2817,S&P BSE MidCap,1
-2.19,2.48,7.63,-0.29,-0.12,1.06,-5.2817,S&P BSE MidCap,1
-5.934,2.52,6.84,-0.87,-0.47,1.07,-7.0041,S&P BSE MidCap,1
-6.599,2.71,6.84,-0.96,-0.54,1.08,-3.9075,S&P BSE MidCap,1
-5.045,3.23,7.12,-0.71,-0.45,1.1,-3.9075,S&P BSE MidCap,1
-0.999,3.67,6.44,-0.16,-0.09,1.13,-3.9075,S&P BSE MidCap,1
0.483000000000001,3.5,6.33,0.08,-0.16,1.14,-0.335900000000001,S&P BSE MidCap,1
7.291,2.09,5.34,1.37,0.31,1.08,0.5908,S&P BSE MidCap,1
1.668,2.66,6.39,0.26,0.01,1.1,0.5909,S&P BSE MidCap,1
-5.765,2.5,5.52,-1.04,-0.49,1.11,-2.9683,S&P BSE MidCap,1
-8.027,2.7,5.43,-1.48,-0.69,1.13,-6.0726,S&P BSE MidCap,1
-9.806,2.67,5.31,-1.85,-0.86,1.13,-6.0726,S&P BSE MidCap,1
-9.964,3.06,5.36,-1.86,-0.96,1.17,-6.0726,S&P BSE MidCap,1
-10.282,4.23,5.7,-1.8,-0.96,1.27,-8.5689,S&P BSE MidCap,1
-13.554,5.19,6.85,-1.98,-1.25,1.32,-13.1967,S&P BSE MidCap,1
-12.278,4.69,6.93,-1.77,-1.05,1.26,-12.5496,S&P BSE MidCap,1
-12.565,4.25,6.63,-1.9,-1.05,1.25,-12.5496,S&P BSE MidCap,1
-14.54,4.21,6.47,-2.25,-1.3,1.22,-12.5496,S&P BSE MidCap,1
-10.042,4.45,8.43,-1.19,-0.84,1.18,-12.5496,S&P BSE MidCap,1
-8.982,5.03,8.96,-1.0,-0.76,1.21,-12.5496,S&P BSE MidCap,1
-7.334,5.13,8.66,-0.85,-0.55,1.22,-11.0316,S&P BSE MidCap,1
-4.491,4.44,8.25,-0.54,-0.43,1.19,-6.732,S&P BSE MidCap,1
-1.766,4.56,8.3,-0.21,-0.33,1.19,-6.732,S&P BSE MidCap,1
2.481,4.85,8.71,0.28,0.03,1.2,-6.732,S&P BSE MidCap,1
8.813,6.76,10.03,0.88,0.14,1.29,-6.732,S&P BSE MidCap,1
20.573,6.4,9.83,2.09,0.55,1.27,-4.2998,S&P BSE MidCap,1
25.019,5.01,8.59,2.91,0.85,1.21,-1.4682,S&P BSE MidCap,1
24.175,5.24,9.0,2.69,0.52,1.23,-1.722,S&P BSE MidCap,1
25.085,5.22,8.97,2.8,0.71,1.23,-1.722,S&P BSE MidCap,1
22.653,6.04,9.16,2.47,0.49,1.32,-1.722,S&P BSE MidCap,1
18.186,6.6,8.58,2.12,-0.21,1.42,-1.722,S&P BSE MidCap,1
17.727,5.71,8.62,2.06,0.3,1.3,-1.722,S&P BSE MidCap,1
18.935,4.6,8.84,2.14,0.41,1.19,0.1068,S&P BSE MidCap,1
17.74,4.74,8.91,1.99,0.35,1.2,0.1068,S&P BSE MidCap,1
16.353,4.22,8.91,1.84,0.68,1.14,1.5071,S&P BSE MidCap,1
14.006,3.9,8.72,1.61,0.66,1.12,2.9637,S&P BSE MidCap,1
6.815,0.81,7.36,0.93,0.69,0.86,2.9637,S&P BSE MidCap,1
2.513,-2.57,6.02,0.42,0.53,0.62,2.9637,S&P BSE MidCap,1
8.431,-2.4,5.7,1.48,0.99,0.65,2.9637,S&P BSE MidCap,1
11.076,-2.23,5.28,2.1,0.93,0.75,3.2364,S&P BSE MidCap,1
10.118,-2.33,5.19,1.95,0.84,0.75,3.5691,S&P BSE MidCap,1
10.868,-1.97,4.93,2.2,0.87,0.77,3.5691,S&P BSE MidCap,1
10.376,-2.16,4.93,2.1,0.77,0.74,3.5691,S&P BSE MidCap,1
8.243,-1.96,4.26,1.93,0.65,0.77,3.5691,S&P BSE MidCap,1
8.749,0.42,3.22,2.72,0.78,1.0,4.9832,S&P BSE MidCap,1
8.198,0.99,3.13,2.62,0.9,1.05,4.5668,S&P BSE MidCap,1
8.048,0.48,3.07,2.62,0.71,1.01,2.9861,S&P BSE MidCap,1
8.931,0.850000000000001,3.26,2.74,0.75,1.03,2.9861,S&P BSE MidCap,1
8.425,0.759999999999998,3.45,2.44,0.71,1.03,2.9861,S&P BSE MidCap,1
8.532,0.75,3.45,2.47,0.68,1.02,2.9861,S&P BSE MidCap,1
9.147,1.13,3.76,2.43,0.71,1.04,2.9861,S&P BSE MidCap,1
10.772,1.67,4.0,2.69,0.72,1.08,-0.338000000000001,S&P BSE MidCap,1
10.437,1.68,4.0,2.61,0.7,1.08,-0.338000000000001,S&P BSE MidCap,1
11.417,1.7,3.9,2.93,0.77,1.08,-0.338000000000001,S&P BSE MidCap,1
7.954,2.53,4.54,1.75,0.58,1.12,-0.641100000000002,S&P BSE MidCap,1
4.177,3.01,5.4,0.77,0.32,1.14,-0.641100000000002,S&P BSE MidCap,1
6.966,2.88,5.32,1.31,0.35,1.13,-2.6323,S&P BSE MidCap,1
9.231,3.1,5.3,1.74,0.2,1.17,-3.6091,S&P BSE MidCap,1
8.727,3.9,5.3,1.65,0.07,1.3,-3.6091,S&P BSE MidCap,1
9.002,3.98,5.36,1.68,0.06,1.3,-3.6091,S&P BSE MidCap,1
6.019,4.54,6.3,0.96,-0.13,1.33,-3.6091,S&P BSE MidCap,1
5.498,4.51,6.3,0.87,-0.07,1.32,-3.6091,S&P BSE MidCap,1
1.601,3.36,5.67,0.28,-0.19,1.22,-3.6091,S&P BSE MidCap,1
