Date,Group,Portfolio Return
2023-01-31,India Under-served,99.99999999999999
2023-02-28,India Under-served,98.69243673873761
2023-03-31,India Under-served,98.12137852810636
2023-04-30,India Under-served,104.2067318302515
2023-05-31,India Under-served,102.92996188302857
2023-06-30,India Under-served,111.94465929550728
2023-07-31,India Under-served,119.15415502747459
2023-08-31,India Under-served,124.53888873195196
2023-09-30,India Under-served,129.19126994742706
2023-10-31,India Under-served,126.35995842798069
2023-11-30,India Under-served,132.49669123683714
2023-12-31,India Under-served,132.72564131583607
2024-01-31,India Under-served,137.62438645869287
2024-02-29,India Under-served,132.98422045228494
2023-01-31,Nifty 50,100.0
2023-02-28,Nifty 50,97.9719343254518
2023-03-31,Nifty 50,98.28786417268762
2023-04-30,Nifty 50,102.2808661313658
2023-05-31,Nifty 50,104.93852672531955
2023-06-30,Nifty 50,111.46806733804675
2023-07-31,Nifty 50,114.74866699298957
2023-08-31,Nifty 50,111.8441962773732
2023-09-30,Nifty 50,114.08063874750121
2023-10-31,Nifty 50,110.8322786980492
2023-11-30,Nifty 50,116.73997210844907
2023-12-31,Nifty 50,126.2364295509533
2024-01-31,Nifty 50,126.20331859943244
2024-02-29,Nifty 50,132.93033461419049
2023-01-31,S&P BSE 500,100.0
2023-02-28,S&P BSE 500,97.08277995781515
2023-03-31,S&P BSE 500,97.399116699197
2023-04-30,S&P BSE 500,101.81218631943194
2023-05-31,S&P BSE 500,105.38811176313561
2023-06-30,S&P BSE 500,109.67341871426419
2023-07-31,S&P BSE 500,113.83836464361767
2023-08-31,S&P BSE 500,112.91210616753396
2023-09-30,S&P BSE 500,115.26293123978331
2023-10-31,S&P BSE 500,111.88777574543346
2023-11-30,S&P BSE 500,119.61426436584792
2023-12-31,S&P BSE 500,129.19373248393035
2024-01-31,S&P BSE 500,131.64582569762888
2024-02-29,S&P BSE 500,133.6378386187796
2023-01-31,S&P BSE Midcap,100.0
2023-02-28,S&P BSE Midcap,98.03280724523432
2023-03-31,S&P BSE Midcap,97.65797053827728
2023-04-30,S&P BSE Midcap,103.44807575741831
2023-05-31,S&P BSE Midcap,109.97178479791285
2023-06-30,S&P BSE Midcap,116.77358798923504
2023-07-31,S&P BSE Midcap,123.4431006662322
2023-08-31,S&P BSE Midcap,126.61178367037205
2023-09-30,S&P BSE Midcap,131.23834088930838
2023-10-31,S&P BSE Midcap,126.7923643146983
2023-11-30,S&P BSE Midcap,139.01227663811704
2023-12-31,S&P BSE Midcap,149.49325826849366
2024-01-31,S&P BSE Midcap,157.34660893786236
2024-02-29,S&P BSE Midcap,159.66972815793252
2023-01-31,S&P BSE Smallcap,100.00000000000001
2023-02-28,S&P BSE Smallcap,96.93415098253294
2023-03-31,S&P BSE Smallcap,95.57227231238826
2023-04-30,S&P BSE Smallcap,102.52138824784647
2023-05-31,S&P BSE Smallcap,109.01294018143803
2023-06-30,S&P BSE Smallcap,115.58628357305746
2023-07-31,S&P BSE Smallcap,124.09578282167253
2023-08-31,S&P BSE Smallcap,131.68763685551934
2023-09-30,S&P BSE Smallcap,133.17158223594197
2023-10-31,S&P BSE Smallcap,130.891455635026
2023-11-30,S&P BSE Smallcap,143.1318423051438
2023-12-31,S&P BSE Smallcap,151.29379003534214
2024-01-31,S&P BSE Smallcap,162.10295082607266
2024-02-29,S&P BSE Smallcap,160.33920574466754
