Annualized Excess Return %,Annualized Excess Volatility %,Tracking Error,Information Ratio,Alpha,Beta,Max Excess Dd,Statistical Factors,Rank,Rank_nr,Holding Yrs
3.794,1.55,4.0,0.95,0.16,1.08,-2.9235,VG,1Q,1,1
7.903,-0.77,8.4,0.94,0.56,0.88,-2.5754,G,1Q,1,2
0.207999999999998,-2.56,5.94,0.04,0.05,0.84,-0.648099999999999,G,1Q,1,2
3.212,2.63,5.13,0.63,0.13,1.1,-2.30110000000001,G,1Q,1,2
5.059,1.44,4.91,1.03,0.36,1.04,0.0127999999999986,G,1Q,1,2
7.286,5.0,8.47,0.86,0.53,1.19,-3.1382,G,1Q,1,2
-0.947,6.16,8.99,-0.11,-0.01,1.25,-5.7995,G,1Q,1,2
5.033,5.75,8.24,0.61,0.13,1.24,-4.88480000000001,G,1Q,1,2
4.132,2.57,7.01,0.59,0.35,1.08,-3.9966,G,1Q,1,2
8.083,1.89,7.56,1.07,0.78,1.01,-1.0874,G,1Q,1,2
-3.962,3.7,5.72,-0.69,-0.47,1.21,-4.107,G,1Q,1,2
5.223,3.97,7.56,0.69,0.32,1.18,-4.7973,G,1Q,1,2
9.003,-1.41,9.96,0.9,0.75,0.82,-1.8977,G,1Q,1,2
3.128,3.06,6.49,0.48,0.13,1.13,-3.3039,G,1Q,1,2
10.68,3.2,7.93,1.35,0.68,1.1,-3.138,G,1Q,1,2
6.134,4.49,7.52,0.82,0.47,1.22,-5.4552,G,1Q,1,2
17.366,3.54,8.07,2.15,1.05,1.12,-1.7933,G,1Q,1,2
7.029,3.92,6.25,1.12,0.47,1.21,-3.8046,G,1Q,1,2
5.315,3.54,5.86,0.91,0.38,1.2,-3.2952,G,1Q,1,2
5.535,3.67,6.78,0.82,0.34,1.19,-3.8564,G,1Q,1,2
7.48,3.81,6.12,1.22,0.41,1.23,-3.3633,G,1Q,1,2
10.858,3.72,6.73,1.61,0.75,1.2,-1.8537,G,1Q,1,2
7.239,2.96,4.64,1.56,0.38,1.19,-2.5509,G,1Q,1,2
-0.746,4.12,6.57,-0.11,-0.3,1.26,-5.8284,G,1Q,1,2
2.05,2.38,4.12,0.5,0.03,1.17,-3.6745,VG,1Q,1,3
2.305,3.37,6.07,0.38,0.11,1.17,-4.9993,G,1Q,1,2
17.39,3.72,7.53,2.31,0.97,1.13,-3.9131,G,1Q,1,2
17.653,5.95,8.74,2.02,0.91,1.25,-4.3992,G,1Q,1,2
15.789,6.66,9.41,1.68,1.05,1.28,-4.6538,G,1Q,1,2
5.011,3.88,6.7,0.75,0.25,1.16,-5.4539,VCG,1Q,1,3
9.482,4.03,7.33,1.29,0.51,1.16,-5.576,VCG,1Q,1,3
8.677,2.98,6.9,1.26,0.35,1.1,-4.9947,VCG,1Q,1,3
6.485,1.71,5.49,1.18,0.35,1.05,-2.68380000000001,VCG,1Q,1,3
4.994,3.29,6.44,0.78,0.29,1.13,-4.33770000000001,VCG,1Q,1,3
2.54,3.07,6.08,0.42,0.08,1.12,-3.7702,VCG,1Q,1,3
2.386,4.12,7.35,0.32,0.01,1.17,-5.42870000000001,VCG,1Q,1,3
2.281,4.13,6.97,0.33,0.03,1.18,-5.6578,VCG,1Q,1,3
1.525,3.25,5.79,0.26,-0.03,1.14,-4.3421,VCG,1Q,1,3
1.417,2.37,5.1,0.28,0.02,1.1,-3.8652,VCG,1Q,1,3
6.157,3.6,6.51,0.95,0.22,1.15,-5.0439,VCG,1Q,1,3
4.048,1.48,4.55,0.89,0.23,1.06,-1.6056,VG,1Q,1,3
4.026,2.62,4.86,0.83,0.11,1.16,-3.1158,VG,1Q,1,3
4.775,2.19,4.2,1.14,0.32,1.13,-2.8888,VG,1Q,1,3
4.861,2.85,4.87,1.0,0.24,1.18,-3.385,VG,1Q,1,3
4.141,2.85,4.59,0.9,0.16,1.19,-5.0646,VG,1Q,1,3
3.62,2.9,4.63,0.78,0.1,1.2,-4.8285,VG,1Q,1,3
15.426,7.62,11.42,1.35,0.76,1.29,-7.7924,G,1Q,1,2
14.083,2.92,7.8,1.81,0.9,1.08,-2.57510000000001,G,1Q,1,2
13.644,1.46,7.16,1.91,0.9,1.01,-1.2667,G,1Q,1,2
10.384,1.31,5.55,1.87,0.72,1.03,0.243499999999997,G,1Q,1,2
4.333,1.64,6.65,0.65,0.31,1.03,-3.31180000000001,G,1Q,1,2
5.748,1.77,6.62,0.87,0.3,1.04,-3.615,G,1Q,1,2
5.655,0.469999999999999,7.02,0.81,0.47,0.96,-2.0772,G,1Q,1,2
15.251,5.19,8.34,1.83,0.79,1.21,-4.18960000000001,G,1Q,1,2
3.054,2.79,4.27,0.72,0.07,1.21,-3.4334,VG,1Q,1,3
2.315,2.11,4.06,0.57,0.12,1.14,-2.3009,VG,1Q,1,3
4.629,2.09,4.25,1.09,0.19,1.13,-2.8705,VG,1Q,1,3
6.704,2.54,4.72,1.42,0.27,1.17,-4.1827,VG,1Q,1,3
4.428,1.33,2.36,1.88,0.06,1.16,0.107,C,1Q,1,1
0.0630000000000006,1.33,2.34,0.03,-0.1,1.18,-0.8251,C,1Q,1,1
1.395,0.59,1.29,1.08,0.0,1.08,-0.5048,C,1Q,1,1
2.279,0.66,1.94,1.17,0.04,1.06,-0.0739000000000005,C,1Q,1,1
4.789,-0.26,1.94,2.47,0.49,0.84,0.4108,C,1Q,1,1
1.934,-0.15,1.93,1.0,0.37,0.83,0.3635,C,1Q,1,1
3.551,0.19,1.7,2.09,0.45,0.96,0.2203,C,1Q,1,1
3.013,0.58,2.24,1.35,0.23,1.0,0.3555,C,1Q,1,1
1.902,-0.33,2.44,0.78,0.41,0.85,0.236599999999999,C,1Q,1,1
1.977,-0.44,2.54,0.78,0.17,0.89,0.8033,C,1Q,1,1
1.781,-1.38,2.93,0.61,0.37,0.8,0.773299999999999,C,1Q,1,1
-0.408999999999999,-1.28,3.53,-0.12,0.17,0.79,0.507899999999999,C,1Q,1,1
-0.593,-1.04,2.95,-0.2,0.1,0.84,0.7057,C,1Q,1,1
-1.881,-1.1,2.69,-0.7,0.01,0.84,0.5451,C,1Q,1,1
0.326999999999998,-1.09,3.15,0.1,0.27,0.83,0.292299999999999,C,1Q,1,1
-0.331,-1.02,2.9,-0.11,0.19,0.85,0.280899999999999,C,1Q,1,1
-1.927,-1.28,2.43,-0.79,0.13,0.84,-0.4848,C,1Q,1,1
1.607,-1.09,2.48,0.65,-0.08,0.9,-0.1378,C,1Q,1,1
-0.827,0.0599999999999987,2.72,-0.3,-0.02,0.98,-0.249400000000001,C,1Q,1,1
0.00999999999999979,0.49,2.16,0.0,-0.03,1.02,-0.566100000000002,C,1Q,1,1
2.279,1.76,3.2,0.71,0.1,1.09,-0.842000000000002,C,1Q,1,1
-0.577999999999999,1.35,2.71,-0.21,-0.06,1.07,-0.00140000000000029,C,1Q,1,1
-0.618,1.1,2.52,-0.25,-0.01,1.06,0.246299999999998,C,1Q,1,1
2.031,-0.309999999999999,2.44,0.83,0.13,0.97,1.8857,C,1Q,1,1
-0.0729999999999995,-0.669999999999998,2.79,-0.03,0.07,0.95,1.5979,C,1Q,1,1
3.437,1.09,1.82,1.89,0.01,1.15,-0.8415,C,1Q,1,1
6.5,2.96,5.88,1.11,0.39,1.12,-4.3886,VCG,1Q,1,3
4.316,1.19,2.02,2.14,0.12,1.15,-0.5034,C,1Q,1,1
6.492,2.25,2.9,2.24,0.06,1.25,-1.0259,C,1Q,1,1
5.699,3.25,4.86,1.17,0.27,1.27,-4.7039,VG,1Q,1,3
5.402,3.24,4.78,1.13,0.21,1.27,-3.2301,VG,1Q,1,3
3.46,1.69,3.03,1.14,0.28,1.16,-3.7173,VG,1Q,1,3
5.668,1.31,3.41,1.66,0.31,1.08,-2.9235,VG,1Q,1,3
-5.418,3.44,6.2,-0.87,-0.43,1.22,-8.5813,G,1Q,1,2
1.364,3.66,5.46,0.25,-0.16,1.3,-6.4998,G,1Q,1,2
6.192,3.05,5.88,1.05,0.56,1.18,-6.1448,G,1Q,1,2
12.925,2.95,5.65,2.29,0.71,1.19,-0.2262,G,1Q,1,2
8.498,1.53,5.18,1.64,0.59,0.98,0.0785,G,1Q,1,2
5.542,0.819999999999999,4.16,1.33,0.46,0.95,0.148399999999999,G,1Q,1,2
3.785,1.1,4.11,0.92,0.21,1.01,0.1778,G,1Q,1,2
11.502,3.64,6.48,1.77,0.56,1.23,-0.6744,G,1Q,1,2
7.678,3.15,5.98,1.28,0.31,1.19,-1.1751,G,1Q,1,2
-4.02,0.9,4.95,-0.81,-0.26,0.88,0.5678,G,1Q,1,2
-7.736,1.47,6.47,-1.2,-0.18,0.79,1.0489,G,1Q,1,2
3.559,1.82,5.38,0.66,0.34,0.96,-2.1157,G,1Q,1,2
10.797,2.98,4.59,2.35,0.59,1.28,-3.9435,G,1Q,1,2
10.012,3.13,3.9,2.57,0.38,1.35,-4.285,G,1Q,1,2
6.849,0.69,2.93,2.34,0.49,1.02,1.9332,G,1Q,1,2
1.998,-1.24,4.93,0.41,0.5,0.75,3.6774,G,1Q,1,2
2.404,-0.00999999999999979,2.94,0.82,0.26,0.97,-0.9579,C,1Q,1,1
3.947,1.28,2.45,1.61,0.42,1.1,0.1791,C,1Q,1,1
3.979,1.02,2.18,1.83,0.2,1.08,-0.3179,C,1Q,1,1
3.408,1.24,2.08,1.64,0.27,1.1,-0.182,C,1Q,1,1
4.875,1.17,2.2,2.22,0.21,1.12,-0.474900000000001,C,1Q,1,1
5.425,1.35,2.08,2.61,0.14,1.18,-0.751,C,1Q,1,1
6.611,3.81,7.4,0.89,0.34,1.15,-5.8623,VCG,1Q,1,3
4.291,4.53,7.73,0.56,0.19,1.19,-5.8295,VCG,1Q,1,3
9.118,5.37,9.55,0.95,0.51,1.21,-6.7591,VCG,1Q,1,3
18.063,4.06,6.71,2.69,0.69,1.28,0.2748,V,1Q,1,1
-1.189,0.37,3.89,-0.31,0.11,0.87,-1.0582,V,1Q,1,1
0.777000000000001,0.39,3.2,0.24,0.19,0.94,-0.288,V,1Q,1,1
14.778,5.54,7.97,1.85,0.61,1.47,-4.9547,V,1Q,1,1
33.916,8.58,11.62,2.92,1.3,1.59,-6.7151,V,1Q,1,1
36.692,9.58,12.78,2.87,1.41,1.63,-6.081,V,1Q,1,1
12.911,5.23,7.33,1.76,1.01,1.37,-1.0906,V,1Q,1,1
8.134,3.77,5.82,1.4,0.25,1.27,-2.1737,V,1Q,1,1
-0.105,6.88,8.34,-0.01,-0.26,1.57,-10.0532,V,1Q,1,1
3.992,7.55,10.41,0.38,-0.11,1.43,-10.4348,V,1Q,1,1
7.306,1.71,9.56,0.76,0.61,0.97,-2.5754,G,1Q,1,3
-1.498,-1.81,5.26,-0.28,0.08,0.87,-0.648099999999999,G,1Q,1,3
4.888,2.15,4.63,1.06,0.25,1.09,-2.30110000000001,G,1Q,1,3
6.775,1.77,5.04,1.34,0.41,1.06,0.0127999999999986,G,1Q,1,3
11.697,4.97,9.38,1.25,0.76,1.18,-3.1382,G,1Q,1,3
7.22,5.39,9.31,0.78,0.22,1.2,-5.7995,G,1Q,1,3
8.871,5.84,9.83,0.9,0.41,1.22,-4.88480000000001,G,1Q,1,3
10.675,4.06,9.11,1.17,0.65,1.12,-3.9966,G,1Q,1,3
13.189,3.84,8.33,1.58,1.06,1.13,-1.0874,G,1Q,1,3
2.304,5.07,7.46,0.31,-0.1,1.23,-4.24160000000001,G,1Q,1,3
22.633,10.04,14.75,1.53,1.43,1.37,-8.1011,G,1Q,1,3
19.339,7.87,12.19,1.59,0.94,1.29,-7.04940000000001,G,1Q,1,3
13.405,5.64,9.76,1.37,0.72,1.21,-6.2719,G,1Q,1,3
21.46,7.73,13.64,1.57,1.22,1.24,-8.5625,G,1Q,1,3
12.59,8.78,13.61,0.93,0.7,1.32,-8.9893,G,1Q,1,3
10.834,5.23,8.76,1.24,0.78,1.16,-1.2105,V,1Q,1,1
21.243,9.08,15.57,1.36,1.27,1.26,-9.3519,G,1Q,1,3
5.328,3.83,6.51,0.82,0.19,1.24,0.6943,V,1Q,1,1
-4.729,2.16,3.06,-1.55,-0.89,1.38,-1.5555,V,1Q,1,1
-2.886,9.57,10.61,-0.27,-0.58,1.5,-2.9214,V,1Q,1,1
8.142,7.28,8.31,0.98,0.14,1.38,-1.5369,V,1Q,1,1
3.493,4.86,6.3,0.55,0.38,1.23,0.0707999999999984,V,1Q,1,1
0.542,6.55,7.61,0.07,0.16,1.32,-3.1951,V,1Q,1,1
-4.977,5.31,7.89,-0.63,-0.51,1.23,-3.5676,V,1Q,1,1
-0.821999999999999,5.38,7.42,-0.11,-0.1,1.25,-2.8222,V,1Q,1,1
-6.254,3.52,6.32,-0.99,-0.53,1.16,-2.5888,V,1Q,1,1
-4.405,2.65,4.29,-1.03,-0.35,1.14,-2.2942,V,1Q,1,1
-1.642,0.789999999999999,5.18,-0.32,-0.16,1.0,0.613199999999999,V,1Q,1,1
7.286,-1.62,6.47,1.13,0.7,0.83,5.1786,V,1Q,1,1
4.827,-0.430000000000001,6.43,0.75,0.28,0.87,5.0387,V,1Q,1,1
1.32,-1.74,4.84,0.27,0.23,0.8,0.995699999999999,V,1Q,1,1
4.042,-0.690000000000001,5.2,0.78,0.12,0.86,0.106999999999999,V,1Q,1,1
1.703,-0.59,6.04,0.28,0.59,0.74,0.277699999999999,V,1Q,1,1
-1.69,-0.699999999999999,6.41,-0.26,0.34,0.7,1.2337,V,1Q,1,1
5.598,0.83,7.05,0.79,0.7,0.81,-0.476500000000001,V,1Q,1,1
7.955,3.71,10.51,0.76,0.96,0.82,-0.3162,V,1Q,1,1
12.881,3.48,9.96,1.29,0.76,0.85,-0.834,V,1Q,1,1
7.126,3.48,9.75,0.73,0.6,0.87,-0.548400000000001,V,1Q,1,1
-1.531,3.73,10.29,-0.15,0.05,0.84,-0.438600000000001,V,1Q,1,1
-5.562,4.59,8.99,-0.62,-0.72,1.1,-1.1385,V,1Q,1,1
-9.651,2.53,6.09,-1.58,-0.54,0.96,0.475199999999999,V,1Q,1,1
-4.265,0.590000000000001,3.03,-1.41,-0.04,0.88,0.0561000000000003,V,1Q,1,1
3.66,2.1,4.99,0.73,0.52,0.89,0.0207000000000002,V,1Q,1,1
3.382,1.78,4.01,0.84,0.07,1.02,-0.2868,V,1Q,1,1
-4.723,1.37,3.11,-1.52,-0.66,1.12,-0.3118,V,1Q,1,1
1.19,-0.169999999999998,3.17,0.38,0.12,0.98,1.5752,C,1Q,1,1
6.698,4.86,7.34,0.91,0.42,1.23,-3.5535,G,1Q,1,3
7.566,3.53,6.34,1.19,0.41,1.16,-1.9676,G,1Q,1,3
0.712,1.47,5.11,0.14,-0.03,1.04,-4.0722,VG,1Q,1,3
12.206,4.21,8.68,1.41,0.8,1.14,-6.06290000000001,VG,1Q,1,3
10.416,4.58,7.86,1.33,0.48,1.18,-5.3945,VG,1Q,1,3
6.315,4.04,6.93,0.91,0.25,1.17,-5.876,VG,1Q,1,3
10.718,4.78,9.31,1.15,0.57,1.17,-6.3038,VG,1Q,1,3
6.154,4.91,8.67,0.71,0.32,1.2,-5.5544,VG,1Q,1,3
9.071,5.91,10.35,0.88,0.49,1.22,-7.28100000000001,VG,1Q,1,3
8.458,5.73,10.29,0.82,0.49,1.21,-6.2221,VG,1Q,1,3
6.275,6.63,11.06,0.57,0.54,1.25,-7.863,VG,1Q,1,3
4.047,1.08,2.21,1.83,0.21,1.11,0.1791,C,1Q,1,2
3.542,3.84,7.45,0.48,0.22,1.16,-6.0849,VG,1Q,1,3
3.516,1.48,5.94,0.59,0.47,1.02,-6.5986,VG,1Q,1,3
3.222,1.82,3.81,0.85,0.08,1.11,-1.9705,VG,1Q,1,3
1.093,1.36,4.11,0.27,0.02,1.06,-1.0546,VG,1Q,1,3
3.561,2.53,5.57,0.64,0.15,1.12,-2.832,VG,1Q,1,3
3.2,1.94,4.11,0.78,0.12,1.11,-1.9048,VCG,1Q,1,3
2.475,1.64,4.25,0.58,0.09,1.08,-1.493,VCG,1Q,1,3
2.351,2.0,4.4,0.53,0.1,1.11,-2.0981,VCG,1Q,1,3
1.735,1.91,4.0,0.43,0.01,1.11,-2.202,VCG,1Q,1,3
2.936,1.16,3.26,0.9,0.16,1.06,-1.2274,VCG,1Q,1,3
3.342,0.800000000000001,4.8,0.7,0.41,1.0,-4.1165,VCG,1Q,1,3
2.498,3.2,6.28,0.4,0.15,1.15,-5.77480000000001,VCG,1Q,1,3
6.906,4.94,8.45,0.82,0.35,1.21,-6.24760000000001,VCG,1Q,1,3
6.983,5.55,9.59,0.73,0.58,1.22,-6.66200000000001,VCG,1Q,1,3
5.676,5.27,9.76,0.58,0.34,1.19,-6.3942,VCG,1Q,1,3
5.882,2.71,6.01,0.98,0.42,1.1,-3.0024,VG,1Q,1,3
5.8,4.15,6.69,0.87,0.37,1.19,-3.6629,G,1Q,1,3
6.916,3.48,6.35,1.09,0.37,1.15,-3.5793,VG,1Q,1,3
2.79,4.63,7.18,0.39,0.0,1.2,-6.29300000000001,VG,1Q,1,3
6.77,3.09,5.43,1.25,0.48,1.16,-2.7353,G,1Q,1,3
15.122,2.08,9.14,1.65,1.35,0.93,-5.1086,G,1Q,1,3
10.747,3.04,5.68,1.89,0.53,1.17,-2.5509,G,1Q,1,3
1.835,5.59,7.97,0.23,-0.13,1.35,-5.8284,G,1Q,1,3
-2.955,6.31,8.19,-0.36,-0.59,1.42,-8.5813,G,1Q,1,3
0.750999999999999,5.57,6.99,0.11,-0.31,1.4,-8.1066,G,1Q,1,3
4.725,6.18,7.83,0.6,-0.07,1.43,-8.2976,G,1Q,1,3
6.18,4.89,6.69,0.92,0.23,1.33,-6.2989,G,1Q,1,3
4.895,3.57,5.88,0.83,0.26,1.22,-4.4718,G,1Q,1,3
4.637,2.25,5.05,0.92,0.26,1.12,-4.7713,G,1Q,1,3
2.493,2.47,5.75,0.43,0.14,1.11,-4.7038,G,1Q,1,3
4.462,6.45,8.39,0.53,-0.02,1.47,-9.9115,G,1Q,1,3
4.851,5.05,6.96,0.7,0.03,1.37,-6.3665,G,1Q,1,3
-1.774,-0.109999999999999,4.73,-0.38,-0.03,0.89,2.6408,G,1Q,1,3
-0.720000000000001,-0.83,6.64,-0.11,0.21,0.76,6.8518,G,1Q,1,3
3.978,1.15,4.79,0.83,0.31,1.01,0.183399999999999,G,1Q,1,3
6.798,4.9,6.5,1.05,0.25,1.42,-5.8983,G,1Q,1,3
5.893,4.8,6.21,0.95,0.17,1.42,-5.2124,G,1Q,1,3
5.336,1.13,3.71,1.44,0.61,1.05,-2.399,G,1Q,1,3
3.496,-0.770000000000001,4.88,0.72,0.54,0.78,3.6774,G,1Q,1,3
5.623,4.23,7.08,0.79,0.19,1.18,-5.4264,VG,1Q,1,3
5.63,2.72,6.32,0.89,0.27,1.1,-4.8224,VG,1Q,1,3
6.916,4.15,7.18,0.96,0.36,1.17,-4.5698,VG,1Q,1,3
6.517,4.26,6.94,0.94,0.34,1.18,-4.4965,VG,1Q,1,3
3.449,5.16,7.49,0.46,0.06,1.23,-6.89530000000001,VG,1Q,1,3
4.324,4.46,7.05,0.61,0.13,1.2,-4.538,VG,1Q,1,3
1.699,0.34,2.45,0.69,0.16,1.01,1.0175,C,1Q,1,1
2.627,-0.00999999999999801,2.39,1.1,0.18,0.99,1.4745,C,1Q,1,1
1.441,1.95,3.25,0.44,0.04,1.1,-0.2286,C,1Q,1,1
-0.325000000000003,0.169999999999998,3.32,-0.1,0.02,0.99,-2.7049,C,1Q,1,3
