Date,Value,Group
1/3/2007,0,E&R 100
1/4/2007,0,E&R 100
1/5/2007,0,E&R 100
1/8/2007,0,E&R 100
1/9/2007,0,E&R 100
1/10/2007,0,E&R 100
1/11/2007,0,E&R 100
1/12/2007,0,E&R 100
1/15/2007,0,E&R 100
1/16/2007,0,E&R 100
1/17/2007,0,E&R 100
1/18/2007,0,E&R 100
1/19/2007,0,E&R 100
1/22/2007,0,E&R 100
1/23/2007,0,E&R 100
1/24/2007,0,E&R 100
1/25/2007,0,E&R 100
1/26/2007,0,E&R 100
1/29/2007,0,E&R 100
1/30/2007,0,E&R 100
1/31/2007,0,E&R 100
2/1/2007,0,E&R 100
2/2/2007,0,E&R 100
2/5/2007,0,E&R 100
2/6/2007,0,E&R 100
2/7/2007,0,E&R 100
2/8/2007,0,E&R 100
2/9/2007,0,E&R 100
2/12/2007,0,E&R 100
2/13/2007,0,E&R 100
2/14/2007,0,E&R 100
2/15/2007,0,E&R 100
2/16/2007,0,E&R 100
2/19/2007,0,E&R 100
2/20/2007,0,E&R 100
2/21/2007,0,E&R 100
2/22/2007,0,E&R 100
2/23/2007,0,E&R 100
2/26/2007,0,E&R 100
2/27/2007,0,E&R 100
2/28/2007,0,E&R 100
3/1/2007,0,E&R 100
3/2/2007,0,E&R 100
3/5/2007,0,E&R 100
3/6/2007,0,E&R 100
3/7/2007,0,E&R 100
3/8/2007,0,E&R 100
3/9/2007,0,E&R 100
3/12/2007,0,E&R 100
3/13/2007,0,E&R 100
3/14/2007,0,E&R 100
3/15/2007,0,E&R 100
3/16/2007,0,E&R 100
3/19/2007,0,E&R 100
3/20/2007,0,E&R 100
3/21/2007,0,E&R 100
3/22/2007,0,E&R 100
3/23/2007,0,E&R 100
3/26/2007,0,E&R 100
3/27/2007,0,E&R 100
3/28/2007,0,E&R 100
3/29/2007,0,E&R 100
3/30/2007,0,E&R 100
4/2/2007,0,E&R 100
4/3/2007,0,E&R 100
4/4/2007,0,E&R 100
4/5/2007,0,E&R 100
4/6/2007,0,E&R 100
4/9/2007,0,E&R 100
4/10/2007,0,E&R 100
4/11/2007,0,E&R 100
4/12/2007,0,E&R 100
4/13/2007,0,E&R 100
4/16/2007,0,E&R 100
4/17/2007,0,E&R 100
4/18/2007,0,E&R 100
4/19/2007,0,E&R 100
4/20/2007,0,E&R 100
4/23/2007,0,E&R 100
4/24/2007,0,E&R 100
