Date,Value,Group
1/3/2007,100,E&R 100
1/4/2007,100.6135,E&R 100
1/5/2007,99.925,E&R 100
1/8/2007,100.1345,E&R 100
1/9/2007,100.4951,E&R 100
1/10/2007,100.9869,E&R 100
1/11/2007,101.8383,E&R 100
1/12/2007,102.2634,E&R 100
1/15/2007,102.2634,E&R 100
1/16/2007,102.6251,E&R 100
1/17/2007,102.5095,E&R 100
1/18/2007,101.7054,E&R 100
1/19/2007,102.106,E&R 100
1/22/2007,101.4422,E&R 100
1/23/2007,101.6108,E&R 100
1/24/2007,102.5428,E&R 100
1/25/2007,101.329,E&R 100
1/26/2007,101.1861,E&R 100
1/29/2007,101.2082,E&R 100
1/30/2007,101.4634,E&R 100
1/31/2007,102.2432,E&R 100
2/1/2007,102.9975,E&R 100
2/2/2007,103.1044,E&R 100
2/5/2007,103.1781,E&R 100
2/6/2007,103.5658,E&R 100
2/7/2007,104.0958,E&R 100
2/8/2007,103.889,E&R 100
2/9/2007,103.0963,E&R 100
2/12/2007,102.8005,E&R 100
2/13/2007,103.6064,E&R 100
2/14/2007,104.4745,E&R 100
2/15/2007,104.5904,E&R 100
2/16/2007,104.5678,E&R 100
2/19/2007,104.5678,E&R 100
2/20/2007,105.0147,E&R 100
2/21/2007,104.6769,E&R 100
2/22/2007,104.516,E&R 100
2/23/2007,104.2176,E&R 100
2/26/2007,103.976,E&R 100
2/27/2007,100.3347,E&R 100
2/28/2007,100.5682,E&R 100
3/1/2007,100.3847,E&R 100
3/2/2007,98.8436,E&R 100
3/5/2007,97.8816,E&R 100
3/6/2007,99.5734,E&R 100
3/7/2007,99.0837,E&R 100
3/8/2007,99.949,E&R 100
3/9/2007,100.0401,E&R 100
3/12/2007,100.6597,E&R 100
3/13/2007,98.7073,E&R 100
3/14/2007,99.2929,E&R 100
3/15/2007,99.5832,E&R 100
3/16/2007,99.1932,E&R 100
3/19/2007,100.2818,E&R 100
3/20/2007,100.9781,E&R 100
3/21/2007,102.7022,E&R 100
3/22/2007,102.7394,E&R 100
3/23/2007,102.7634,E&R 100
3/26/2007,102.8051,E&R 100
3/27/2007,102.2125,E&R 100
3/28/2007,101.4012,E&R 100
3/29/2007,101.6511,E&R 100
3/30/2007,101.6071,E&R 100
4/2/2007,101.8593,E&R 100
4/3/2007,102.7892,E&R 100
4/4/2007,102.8498,E&R 100
4/5/2007,103.2292,E&R 100
4/6/2007,103.2292,E&R 100
4/9/2007,103.3716,E&R 100
4/10/2007,103.6405,E&R 100
4/11/2007,102.8221,E&R 100
4/12/2007,103.3277,E&R 100
4/13/2007,103.5948,E&R 100
4/16/2007,104.6509,E&R 100
4/17/2007,104.8693,E&R 100
4/18/2007,104.5886,E&R 100
4/19/2007,104.5037,E&R 100
4/20/2007,105.3166,E&R 100
4/23/2007,105.0953,E&R 100
4/24/2007,105.2489,E&R 100
4/25/2007,106.9019,E&R 100
4/26/2007,107.5786,E&R 100
4/27/2007,107.5084,E&R 100
4/30/2007,106.5539,E&R 100
5/1/2007,106.8194,E&R 100
5/2/2007,107.5951,E&R 100
5/3/2007,108.3009,E&R 100
5/4/2007,108.7354,E&R 100
5/7/2007,108.8941,E&R 100
5/8/2007,109.0574,E&R 100
5/9/2007,109.2216,E&R 100
5/10/2007,107.8004,E&R 100
5/11/2007,108.9608,E&R 100
5/14/2007,108.8756,E&R 100
5/15/2007,108.7351,E&R 100
5/16/2007,109.6377,E&R 100
5/17/2007,109.348,E&R 100
5/18/2007,110.3685,E&R 100
5/21/2007,110.9148,E&R 100
5/22/2007,110.9585,E&R 100
5/23/2007,110.6247,E&R 100
5/24/2007,109.5643,E&R 100
5/25/2007,110.1369,E&R 100
5/28/2007,110.1369,E&R 100
5/29/2007,110.6749,E&R 100
5/30/2007,111.6619,E&R 100
5/31/2007,111.9215,E&R 100
6/1/2007,112.1363,E&R 100
6/4/2007,112.2297,E&R 100
6/5/2007,112.0171,E&R 100
6/6/2007,111.1057,E&R 100
6/7/2007,109.3054,E&R 100
6/8/2007,110.4506,E&R 100
6/11/2007,110.2335,E&R 100
6/12/2007,109.2573,E&R 100
6/13/2007,110.6978,E&R 100
6/14/2007,111.1759,E&R 100
6/15/2007,112.3158,E&R 100
6/18/2007,112.2362,E&R 100
6/19/2007,112.5175,E&R 100
6/20/2007,111.3037,E&R 100
6/21/2007,111.9625,E&R 100
6/22/2007,110.6929,E&R 100
6/25/2007,110.3284,E&R 100
6/26/2007,109.8187,E&R 100
6/27/2007,111.2723,E&R 100
6/28/2007,111.1342,E&R 100
6/29/2007,110.9906,E&R 100
7/2/2007,112.2663,E&R 100
7/3/2007,112.5168,E&R 100
7/4/2007,112.5168,E&R 100
7/5/2007,112.7076,E&R 100
7/6/2007,113.1167,E&R 100
7/9/2007,113.4443,E&R 100
7/10/2007,111.9575,E&R 100
7/11/2007,112.3557,E&R 100
7/12/2007,114.6117,E&R 100
7/13/2007,115.3009,E&R 100
7/16/2007,115.0289,E&R 100
7/17/2007,114.94,E&R 100
7/18/2007,114.645,E&R 100
7/19/2007,115.2349,E&R 100
7/20/2007,113.9659,E&R 100
7/23/2007,114.2546,E&R 100
7/24/2007,112.1452,E&R 100
7/25/2007,113.7297,E&R 100
7/26/2007,111.6147,E&R 100
7/27/2007,109.9099,E&R 100
7/30/2007,111.2159,E&R 100
7/31/2007,109.474,E&R 100
8/1/2007,109.7745,E&R 100
8/2/2007,110.5868,E&R 100
8/3/2007,107.4711,E&R 100
8/6/2007,109.9818,E&R 100
8/7/2007,110.8253,E&R 100
8/8/2007,113.1187,E&R 100
8/9/2007,109.6067,E&R 100
8/10/2007,109.5324,E&R 100
8/13/2007,109.5376,E&R 100
8/14/2007,107.6886,E&R 100
8/15/2007,105.8417,E&R 100
8/16/2007,105.5628,E&R 100
8/17/2007,108.1093,E&R 100
8/20/2007,108.2432,E&R 100
8/21/2007,108.7377,E&R 100
8/22/2007,110.1325,E&R 100
8/23/2007,109.8877,E&R 100
8/24/2007,111.2418,E&R 100
8/27/2007,110.5686,E&R 100
8/28/2007,107.6811,E&R 100
8/29/2007,110.1482,E&R 100
8/30/2007,109.9718,E&R 100
8/31/2007,111.4408,E&R 100
9/3/2007,111.4408,E&R 100
9/4/2007,112.6317,E&R 100
9/5/2007,111.3388,E&R 100
9/6/2007,112.1061,E&R 100
9/7/2007,110.0379,E&R 100
9/10/2007,109.9274,E&R 100
9/11/2007,111.7691,E&R 100
9/12/2007,112.0077,E&R 100
9/13/2007,113.2364,E&R 100
9/14/2007,113.2679,E&R 100
9/17/2007,112.7628,E&R 100
9/18/2007,116.2447,E&R 100
9/19/2007,116.9182,E&R 100
9/20/2007,116.2471,E&R 100
9/21/2007,117.0747,E&R 100
9/24/2007,116.9937,E&R 100
9/25/2007,117.4731,E&R 100
9/26/2007,118.216,E&R 100
9/27/2007,118.6612,E&R 100
9/28/2007,118.2467,E&R 100
10/1/2007,119.8934,E&R 100
10/2/2007,119.5772,E&R 100
10/3/2007,119.2915,E&R 100
10/4/2007,119.5151,E&R 100
10/5/2007,120.8987,E&R 100
10/8/2007,120.9869,E&R 100
10/9/2007,121.947,E&R 100
10/10/2007,121.7573,E&R 100
10/11/2007,120.5989,E&R 100
10/12/2007,121.9275,E&R 100
10/15/2007,121.1384,E&R 100
10/16/2007,120.445,E&R 100
10/17/2007,120.9517,E&R 100
10/18/2007,121.0804,E&R 100
10/19/2007,118.1146,E&R 100
10/22/2007,118.7901,E&R 100
10/23/2007,120.7762,E&R 100
10/24/2007,119.6457,E&R 100
10/25/2007,119.4489,E&R 100
10/26/2007,120.6804,E&R 100
10/29/2007,121.5173,E&R 100
10/30/2007,121.1125,E&R 100
10/31/2007,123.5135,E&R 100
11/1/2007,120.7805,E&R 100
11/2/2007,121.0547,E&R 100
11/5/2007,120.4,E&R 100
11/6/2007,121.8924,E&R 100
11/7/2007,118.9846,E&R 100
11/8/2007,117.8208,E&R 100
11/9/2007,116.5731,E&R 100
11/12/2007,114.959,E&R 100
11/13/2007,118.5813,E&R 100
11/14/2007,117.826,E&R 100
11/15/2007,116.7221,E&R 100
11/16/2007,117.6821,E&R 100
11/19/2007,115.4991,E&R 100
11/20/2007,116.2457,E&R 100
11/21/2007,114.6182,E&R 100
11/22/2007,114.6182,E&R 100
11/23/2007,116.4715,E&R 100
11/26/2007,114.0846,E&R 100
11/27/2007,116.2342,E&R 100
11/28/2007,120.0495,E&R 100
11/29/2007,120.1752,E&R 100
11/30/2007,120.9162,E&R 100
12/3/2007,120.4423,E&R 100
12/4/2007,119.8308,E&R 100
12/5/2007,121.7154,E&R 100
12/6/2007,123.0482,E&R 100
12/7/2007,123.2028,E&R 100
12/10/2007,123.9219,E&R 100
12/11/2007,121.1421,E&R 100
12/12/2007,121.7364,E&R 100
12/13/2007,121.5606,E&R 100
12/14/2007,120.2524,E&R 100
12/17/2007,117.5538,E&R 100
12/18/2007,118.5044,E&R 100
12/19/2007,118.8188,E&R 100
12/20/2007,119.7845,E&R 100
12/21/2007,121.4902,E&R 100
12/24/2007,122.5215,E&R 100
12/25/2007,122.5215,E&R 100
12/26/2007,122.8265,E&R 100
12/27/2007,121.2728,E&R 100
12/28/2007,121.3484,E&R 100
12/31/2007,120.231,E&R 100
1/1/2008,120.231,E&R 100
1/2/2008,118.5113,E&R 100
1/3/2008,118.3868,E&R 100
1/4/2008,114.9899,E&R 100
1/7/2008,115.4176,E&R 100
1/8/2008,113.6405,E&R 100
1/9/2008,114.8506,E&R 100
1/10/2008,115.7748,E&R 100
1/11/2008,113.5393,E&R 100
1/14/2008,115.0301,E&R 100
1/15/2008,112.5678,E&R 100
1/16/2008,111.5754,E&R 100
1/17/2008,109.2687,E&R 100
1/18/2008,108.6626,E&R 100
1/21/2008,108.6626,E&R 100
1/22/2008,107.4283,E&R 100
1/23/2008,109.2226,E&R 100
1/24/2008,110.5481,E&R 100
1/25/2008,108.9803,E&R 100
1/28/2008,109.9949,E&R 100
1/29/2008,110.6398,E&R 100
1/30/2008,110.158,E&R 100
1/31/2008,112.4524,E&R 100
2/1/2008,113.46,E&R 100
2/4/2008,112.3949,E&R 100
2/5/2008,109.1614,E&R 100
2/6/2008,108.2403,E&R 100
2/7/2008,109.2006,E&R 100
2/8/2008,109.0179,E&R 100
