Date,Value,Group,Years
2007,0,E&R 100,2
2008,-7.611527769,E&R 100,2
2009,-0.484458114,E&R 100,2
2010,28.72541375,E&R 100,2
2011,11.00124397,E&R 100,2
2012,8.606909711,E&R 100,2
2013,28.17246258,E&R 100,2
2014,25.23281875,E&R 100,2
2015,12.31389086,E&R 100,2
2016,12.75077054,E&R 100,2
2017,19.20135813,E&R 100,2
2018,10.16967306,E&R 100,2
2019,10.69880651,E&R 100,2
2020,24.75244117,E&R 100,2
2021,25.74910903,E&R 100,2
2022,3.304143782,E&R 100,2
2023,0,E&R 100,2
2007,0,S&P 100,2
2008,-19.05955739,S&P 100,2
2009,-10.60950107,S&P 100,2
2010,16.89655824,S&P 100,2
2011,6.781796075,S&P 100,2
2012,7.211982707,S&P 100,2
2013,19.20235049,S&P 100,2
2014,18.28002224,S&P 100,2
2015,6.007405273,S&P 100,2
2016,4.592874635,S&P 100,2
2017,13.37856223,S&P 100,2
2018,6.664576106,S&P 100,2
2019,11.18049405,S&P 100,2
2020,24.52983703,S&P 100,2
2021,24.13938114,S&P 100,2
2022,1.309608989,S&P 100,2
2023,0,S&P 100,2
2007,0,E&R 100,3
2008,0,E&R 100,3
2009,6.030490438,E&R 100,3
2010,7.72246147,E&R 100,3
2011,18.43900493,E&R 100,3
2012,13.78337335,E&R 100,3
2013,18.07037082,E&R 100,3
2014,23.27108988,E&R 100,3
2015,20.54169159,E&R 100,3
2016,12.98996185,E&R 100,3
2017,16.52071784,E&R 100,3
2018,11.56048331,E&R 100,3
2019,15.15274182,E&R 100,3
2020,15.26120534,E&R 100,3
2021,25.53903247,E&R 100,3
2022,10.33143019,E&R 100,3
2023,0,E&R 100,3
2007,0,S&P 100,3
2008,0,S&P 100,3
2009,-5.646529477,S&P 100,3
2010,-2.868470671,S&P 100,3
2011,11.5810395,S&P 100,3
2012,9.012518514,S&P 100,3
2013,13.11823433,S&P 100,3
2014,16.67800262,S&P 100,3
2015,12.31518271,S&P 100,3
2016,6.938352054,S&P 100,3
2017,9.047542707,S&P 100,3
2018,7.376465942,S&P 100,3
2019,13.43928898,S&P 100,3
2020,14.81064914,S&P 100,3
2021,25.089159,S&P 100,3
2022,8.230059103,S&P 100,3
2023,0,S&P 100,3
