Symbol,Name,Current Price,P&L(%),E&R 100 Proportion(%),S&P 100 Proportion(%)
AAPL,Apple Inc,141.11,11.2,0.28,10.9
ABBV,AbbVie Inc,148.55,-8.3,2.56,1.28
ABT,Abbott Laboratories,114.01,3.2,0.26,0.97
ACN,Accenture PLC,279.34,3.57,0.26,0.9
ADBE,Adobe Systems Inc,364.98,6.91,0.27,0
AEP,American Electric Power Company Inc.,0,0,0,0.23
AIG,American International Group Inc,63.1,-0.39,2.78,0.23
AMD,Advanced Micro Devices Inc,76.53,10.75,1.78,0
AMGN,Amgen Inc.,260.97,15.12,1.59,0.68
AMT,American Tower Corp,215.67,1.19,0.25,0
AMZN,Amazon.Com Inc.,97.52,14.43,0.29,4.85
AVGO,Broadcom Ltd,581.63,4.61,0.26,1.19
AXP,American Express Co,154,4.03,0.26,0.56
BA,Boeing Co,209.97,1.02,1.39,0.61
BAC,Bank of America Corp,34.32,2.75,0.26,1.34
BAX,Baxter International Inc.,0,0,0,0.11
BIIB,Biogen Inc,0,0,0,0.2
BK,Bank of New York Mellon Corp/The,49.34,6.52,0.27,0.19
BKNG,Booking Holdings Inc.,2401.58,18.36,0.3,0
BLK,Blackrock Inc,748.02,4.68,0.26,0
BMY,Bristol-Myers Squibb Co,73.26,18.39,1.63,0.76
BRK.B,Berkshire Hathaway Inc Del [Brk.B],310.42,0.09,2.79,0
BRKB,Berkshire Hathaway Inc. - Class B Shares,0,0,0,1.97
C,Citigroup Inc,51.98,-17.62,1.14,0.49
CAT,Caterpillar Inc,252.7,5.86,0.26,0.64
CHTR,Charter Communications Inc,396.01,16.41,0.29,0
CL,Colgate-Palmolive Co,75.5,-4.18,0.24,0.31
CMCSA,Comcast Corp,40.26,15.52,0.29,0.85
COF,Capital One Financial Corp,107.12,15.23,0.29,0.2
COP,CONOCOPHILLIPS,120.13,1.81,2.84,0.73
COST,COSTCO WHOLESALE CORP,492.61,8.19,3.02,1.07
CRM,Salesforce Inc,155.87,17.56,0.29,0
CSCO,Cisco Systems Inc,47.5,0.04,0.25,0.95
CVS,CVS Health Corp,87.2,-6.43,2.61,0.56
CVX,CHEVRON CORP,180.66,51.48,2.09,1.7
DHR,Danaher Corp,277,4.36,0.26,0
DIS,Walt Disney Co,105.69,21.65,0.3,0.94
DOW,Dow Inc,58.04,15.18,0.29,0.2
DUK,DUKE ENERGY CORP,100.99,-1.94,0.25,0
DVN,Devon Energy Corp.,0,0,0,0.21
EBAY,EBay Inc.,0,0,0,0.13
EMR,Emerson Electric Co,89,-7.35,0.23,0.26
EXC,Exelon Corp,41.82,-1.83,2.74,0.2
F,Ford Motor Co,12.8,10.06,3.07,0.25
FCX,Freeport-McMoRan Inc,0,0,0,0.31
FDX,FedEx Corp,191.15,10.36,0.28,0.24
GD,General Dynamics Corp,232.45,-6.31,2.61,0.31
GE,General Electric Co,79.77,-4.8,0.24,0
GILD,Gilead Sciences Inc,83.23,-3.22,2.7,0.51
GM,General Motors Co,36.44,8.32,0.27,0.25
GOOG,Alphabet Cl C,101.21,13.36,0.28,3.01
